business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
INNOVATIVE MODULAR KITCHEN & FURNITURE,Modular Kitchen Manufacturer,Furniture Manufacturer,Furniture Manufacturer,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,N/A,5.0,6.0,"BALAJI ARCADE TOWER, Akota - Mujmahuda Rd, near AKSHAR CHOWK, Akota, Vadodara, Gujarat 390007",Akota,22.2854957,73.1681017,ChIJcX98UQDHXzkRc6LNS-UEbTg,https://www.google.com/maps/place/?q=place_id:ChIJcX98UQDHXzkRc6LNS-UEbTg,part_110,2026-09-20 16:40:18
S K Modular Kitchen,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Modular home builder, Kitchen remodeler, Kitchen supply store, Modular home dealer",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 98980 23996,https://www.skmodularkitchen.com/,4.5,29.0,"shop no.25, Jagannath Complex, Pratap Nagar Rd, nr. Geeta Mandir school, Bhatia Chawl, Moghul Wada, Vadodara, Gujarat 390004","Bhatia Chawl, Moghul Wada",22.290960899999998,73.2102602,ChIJwf50mSDFXzkREsU534cyo7A,https://www.google.com/maps/place/?q=place_id:ChIJwf50mSDFXzkREsU534cyo7A,part_110,2026-09-20 16:40:18
"Würfel Küche - Vadodara, Gujarat - Luxury Modular Kitchens & Wardrobes",Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Countertop store, Furniture store",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 88490 02596,http://www.wurfel.in/,4.7,69.0,"PTSI Building, Genda Cir, Alkapuri, Vadodara, Gujarat 390007",Alkapuri,22.3173955,73.17156589999999,ChIJlWkyP6XIXzkR2L9MoH9XPko,https://www.google.com/maps/place/?q=place_id:ChIJlWkyP6XIXzkR2L9MoH9XPko,part_110,2026-09-20 16:40:18
K K Marketing,Modular Kitchen Manufacturer,Furniture store,"Furniture store, Furniture maker, Furniture wholesaler",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 73834 42266,http://www.realplast.in/,4.7,164.0,"Plot-3, New VIP Rd, behind Motibhai Park, Jay Santoshinagar-2, Khodiyar Nagar, Harni, Vadodara, Gujarat 390022","Jay Santoshinagar-2, Khodiyar Nagar, Harni",22.325155,73.2370174,ChIJdV_iRp_PXzkRXWkHOLiiQS8,https://www.google.com/maps/place/?q=place_id:ChIJdV_iRp_PXzkRXWkHOLiiQS8,part_110,2026-09-20 16:40:18
Pramukh Modular Kitchen | La Vetta Cucina | Cucine Lube Ahmedabad,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Furniture store, Kitchen remodeler, Kitchen supply store",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 99099 59753,https://www.pramukhkitchens.com/,4.5,155.0,"Shivalik Arcade, F/104/111, Prahlad Nagar Rd, below Skyz Restaurant, opp. Timber Point, Prahlad Nagar, Ahmedabad, Gujarat 380015",Prahlad Nagar,23.0116239,72.5084086,ChIJk___Ty-bXjkRD9WraLR0J3U,https://www.google.com/maps/place/?q=place_id:ChIJk___Ty-bXjkRD9WraLR0J3U,part_110,2026-09-20 16:40:18
Aryan Home Decor,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Furniture maker, Furniture Manufacturer, Furniture store",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 98244 20946,https://aryanhomedecor.com/,4.0,42.0,"D 18, Yogeshwar Society, Opp. Vallabh Vidhya Mandir, Dabhoi - Waghodia Ring Rd, Waghodia, Vadodara, Gujarat 390025","Goverdhan Township, Waghodia",22.285639399999997,73.2337017,ChIJIXq-oYfPXzkRq6yox-nufdU,https://www.google.com/maps/place/?q=place_id:ChIJIXq-oYfPXzkRq6yox-nufdU,part_110,2026-09-20 16:40:18
Konark Corporation Sintex Pvc Door & Furniture,Modular Kitchen Manufacturer,Furniture maker,Furniture maker,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 96627 97127,N/A,5.0,1.0,"Sahjanand society, 37, Harni - Warasiya Ring Rd, nr. Dhaval hospital, opp. hdfc bank, Sawad, Bapunagar, Vadodara, Gujarat 390022","Sawad, Bapunagar",22.3193125,73.2163101,ChIJP_xODG7PXzkR7SM4RcaWoAE,https://www.google.com/maps/place/?q=place_id:ChIJP_xODG7PXzkR7SM4RcaWoAE,part_110,2026-09-20 16:40:18
Moduler kitchen,Modular Kitchen Manufacturer,Store,Store,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 97121 41638,N/A,,,"Gaytree society, Makarpura GIDC, Makarpura, Vadodara, Gujarat 390010","Gaytree society, Makarpura GIDC, Makarpura",22.2553406,73.18816939999999,ChIJxeZ2tsbFXzkRqZUxRPW5CHc,https://www.google.com/maps/place/?q=place_id:ChIJxeZ2tsbFXzkRqZUxRPW5CHc,part_110,2026-09-20 16:40:18
Sleek Modular Kitchens by Asian Paints Ltd.,Modular Kitchen Manufacturer,Kitchen furniture store,Kitchen furniture store,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 97370 44405,https://www.beautifulhomes.asianpaints.com/,4.4,75.0,"Shagun Exotica,, Doctor Rustom Cama Marg, Off. R.C. Dutt Road, 57 Alkapuri Society,, Alkapuri, Vadodara, Gujarat 390007",Alkapuri,22.313159199999998,73.1731295,ChIJpUZlnbDIXzkRdqDo1oFvmfo,https://www.google.com/maps/place/?q=place_id:ChIJpUZlnbDIXzkRdqDo1oFvmfo,part_110,2026-09-20 16:40:19
Elixir Modulars : Modular Kitchen & Wardrobe Manufacturer,Modular Kitchen Manufacturer,Kitchen remodeler,"Kitchen remodeler, Furniture Manufacturer",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 78638 73715,N/A,4.9,94.0,"E/S-1, Nitco Marg, Block A, Shyam Enclave, Sahibabad, Ghaziabad, Uttar Pradesh 201005","Block A, Shyam Enclave, Sahibabad",28.6792302,77.3403769,ChIJBXdQbhv7DDkRUmP8WfEeNEA,https://www.google.com/maps/place/?q=place_id:ChIJBXdQbhv7DDkRUmP8WfEeNEA,part_110,2026-09-20 16:40:19
