business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Digital Computer Academy,Computer Training Institute,Education center,Education center,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 79846 82014,N/A,5.0,,"Shivalik Arcade, F-1, Bavla - Dholka Road, opp. Baker's Point, Kalikund, Dholka, Gujarat 382225",Kalikund,22.743003599999998,72.44182219999999,ChIJr9x-MpbtXjkRv0QrGUM9h1g,https://www.google.com/maps/place/?q=place_id:ChIJr9x-MpbtXjkRv0QrGUM9h1g,part_102,2026-09-20 16:40:22
"Blue Star Computer Education , Dholka",Computer Training Institute,Education center,Education center,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 92768 14891,http://www.rsmspbr.in/,4.7,,"Blue Star Computer Classes, Laxmi Arcade, F 113, St Bus Stand Rd, opp. Malav Talav Road, Radhanpuri, Dholka, Gujarat 382225",Radhanpuri,22.7272152,72.4377767,ChIJHY-fz4vsXjkRqu-8pCQSpYQ,https://www.google.com/maps/place/?q=place_id:ChIJHY-fz4vsXjkRqu-8pCQSpYQ,part_102,2026-09-20 16:40:22
Apex Computer Center,Computer Training Institute,Computer training school,Computer training school,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 99747 89345,https://www.instagram.com/apexcomputerbavla?igsh=MWRzZThvMmlnejA0MQ==,4.8,,"NR GEB OFFICE 2, NR BRIGHT SCHOOL, DHOLKA ROAD, GJ SH 74, Vallabh Nagar Society, Bavla, Gujarat 382220",Vallabh Nagar Society,22.8317232,72.3673045,ChIJa5Gm_LeVXjkRWT6q1Vigvqs,https://www.google.com/maps/place/?q=place_id:ChIJa5Gm_LeVXjkRWT6q1Vigvqs,part_102,2026-09-20 16:40:22
Techno Aspire Coaching Centre,Computer Training Institute,Coaching Center,Coaching Center,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 88668 80710,https://helptechnoaspire.wixsite.com/technoaspire,5.0,,"Shree Ram Complex, F/1, Bavla - Dholka Road, near HP Petrol Pump, Kalikund, Dholka, Gujarat 382225",Kalikund,22.7434723,72.441924,ChIJH_A3i9PtXjkRmCzV9Suv6ls,https://www.google.com/maps/place/?q=place_id:ChIJH_A3i9PtXjkRmCzV9Suv6ls,part_102,2026-09-20 16:40:22
Cyber Soft Computer,Computer Training Institute,Coaching Center,Coaching Center,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 93769 31839,N/A,4.0,,"PCVW+4J6, Bavla - Dholka Road, Kalikund, Dholka, Gujarat 382225",Kalikund,22.7427858,72.44641419999999,ChIJqaqqqpXsXjkRsB_5nuKhVQE,https://www.google.com/maps/place/?q=place_id:ChIJqaqqqpXsXjkRsB_5nuKhVQE,part_102,2026-09-20 16:40:22
Angel Computer Education,Computer Training Institute,Education center,Education center,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 74900 23516,https://www.iielit.com/,4.8,,"FF6,Prerna complex Nr. Shreya Chokdi, Girls School Road, Bavla, Gujarat 382220",Rajoda,22.834987599999998,72.3684261,ChIJbXPfXsiVXjkRKI0qSc-bJ1w,https://www.google.com/maps/place/?q=place_id:ChIJbXPfXsiVXjkRKI0qSc-bJ1w,part_102,2026-09-20 16:40:22
APEX ACADEMY,Computer Training Institute,Education center,Education center,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 97235 03885,N/A,5.0,,"First Floor, Road, nr. Jivandeep Hospital, Maghiya, Dholka, Gujarat 382225",Maghiya,22.7223676,72.4360003,ChIJu1QsqHHtXjkRxM-Xla3PnSE,https://www.google.com/maps/place/?q=place_id:ChIJu1QsqHHtXjkRxM-Xla3PnSE,part_102,2026-09-20 16:40:22
Zeel Computer Academy,Computer Training Institute,Education center,Education center,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 99747 03060,N/A,3.7,,"4, Prerana Complex, Near Shreya Cross Road, Bavla, Gujarat 382220",Rajoda,22.8350215,72.3684152,ChIJV2ZEX8iVXjkRGmoqiY1dKfE,https://www.google.com/maps/place/?q=place_id:ChIJV2ZEX8iVXjkRGmoqiY1dKfE,part_102,2026-09-20 16:40:22
DHARTI COMPUTER EDUCATION,Computer Training Institute,Education center,Education center,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,N/A,4.2,,"Kailashdham Society, near SM Patel School, opp. Saubhagya Society, Rajoda, Bavla, Gujarat 382220",Rajoda,22.836854199999998,72.37538119999999,ChIJyXSZPrqVXjkRPLRGKk8ujPE,https://www.google.com/maps/place/?q=place_id:ChIJyXSZPrqVXjkRPLRGKk8ujPE,part_102,2026-09-20 16:40:22
Perfect Csc And Training Center,Computer Training Institute,Internet cafe,Internet cafe,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 99259 45187,N/A,1.0,,"Pccp+W9W, 8, Malav Talav Rd, Radhanpuri, Dholka, Ahmedabad, Gujarat 382225",Radhanpuri,22.722307,72.4359729,ChIJH4cQGX3sXjkRfv15ELv4R38,https://www.google.com/maps/place/?q=place_id:ChIJH4cQGX3sXjkRfv15ELv4R38,part_102,2026-09-20 16:40:22
Dholka.I.T.I (Dr. Ibrahim kazim),Computer Training Institute,Training center,Training center,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 88662 94463,https://sites.google.com/view/prlgiadholkaitiyahoo-com/home,4.7,,"MIRKUVA, nr. mohammadi school, Dholka, Ahmedabad, Gujarat 382225",Lilajpur,22.731279999999998,72.4435798,ChIJ-7Lgqo7sXjkRPu0XPYTLWBM,https://www.google.com/maps/place/?q=place_id:ChIJ-7Lgqo7sXjkRPu0XPYTLWBM,part_102,2026-09-20 16:40:22
SHAILLY COMPUTER EDUCATION (DHOLKA),Computer Training Institute,Software Training Institute,Software Training Institute,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 92158 96358,N/A,5.0,,"F21, FIRST FLOOR, BALAJI SQUARE COMMERCIAL, Parshwanath General Hospital, CIRCLE, Kalikund, Dholka, Gujarat 382225",Kalikund,22.7440648,72.4400727,ChIJD_82VT3tXjkRnslmuswmB2Y,https://www.google.com/maps/place/?q=place_id:ChIJD_82VT3tXjkRnslmuswmB2Y,part_102,2026-09-20 16:40:22
Lions Technologies,Computer Training Institute,Website designer,"Website designer, Software company, Software Training Institute, Web hosting company",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 98985 80008,http://lionstechnologies.com/,5.0,,"mohammadi school, 4/687, Road, beside A-One Complex, Lilajpur, Dholka, Gujarat 382225",Lilajpur,22.730196799999998,72.4424901,ChIJEd-IiSztXjkRQnP7NkvTbvc,https://www.google.com/maps/place/?q=place_id:ChIJEd-IiSztXjkRQnP7NkvTbvc,part_102,2026-09-20 16:40:22
Brilliant Computer Education,Computer Training Institute,Software Training Institute,"Software Training Institute, Accounting school, Coaching Center, English language school, Institute of technology, Software company, Training center",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 94289 52837,https://pruthvirajsinh.in/,5.0,1125.0,"Second floor, Maruti Nandan Complex, 9 & 10, opp. H.P. Petrol Pump, above Shreeji Dairy, Bopal, Ahmedabad, Gujarat 380058",Bopal,23.029816699999998,72.4737404,ChIJ9XVHYHWbXjkRs1HuWL0vC5M,https://www.google.com/maps/place/?q=place_id:ChIJ9XVHYHWbXjkRs1HuWL0vC5M,part_102,2026-09-20 16:40:22
H & B Computer Education Maninagar,Computer Training Institute,Software Training Institute,"Software Training Institute, Adult education school, Computer networking service, Computer security service, Education center, Educational institution, Learning center, Computer training school, Training center, Vocational school",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 94276 64076,https://www.hnbinfo.com/,4.9,1719.0,"203, Ravish Complex, Maninagar Cross Rd, above Sales India, Balvatika, Maninagar, Ahmedabad, Gujarat 380008","Balvatika, Maninagar",22.9976703,72.6083329,ChIJadjR-eCFXjkR6drj23w5VP0,https://www.google.com/maps/place/?q=place_id:ChIJadjR-eCFXjkR6drj23w5VP0,part_102,2026-09-20 16:40:22
