business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DG Classes,Commerce and CA Coaching,Educational institution,"Educational institution, Coaching Center, Education center",382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 99255 59588,https://dgclasses.com/,5.0,143.0,"3RD FLOOR, R & A CHAMBERS, nr. LAKSHMI CINEMA CROSSING, above DR. SHAILESH SHAH'S HOSPITAL, Gamdi Vad, Anand, Gujarat 388001",Gamdi Vad,22.558906399999998,72.96146689999999,ChIJ0d8TxiFPXjkRlou3MNTA5L0,https://www.google.com/maps/place/?q=place_id:ChIJ0d8TxiFPXjkRlou3MNTA5L0,part_102,2026-09-20 16:44:28
Collate Institute,Commerce and CA Coaching,Coaching Center,"Coaching Center, Service establishment",382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 91730 10206,https://www.collateinstitute.com/,4.9,13.0,"Collate Institute, 382260, India",382260,22.322102599999997,73.1730862,ChIJqyXyhSuOJy0R9wpTQq-Kcbw,https://www.google.com/maps/place/?q=place_id:ChIJqyXyhSuOJy0R9wpTQq-Kcbw,part_102,2026-09-20 16:44:28
M. M. Shah Class,Commerce and CA Coaching,Coaching Center,Coaching Center,382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 94273 64754,N/A,4.8,661.0,"Gate No.5, Sursagar Lake, Opp: Amadavi Pole, Opp:, OR, Raopura, Vadodara, Gujarat 390001",Raopura,22.3022897,73.2031887,ChIJZwmznF_PXzkRBEkf0jL7QUA,https://www.google.com/maps/place/?q=place_id:ChIJZwmznF_PXzkRBEkf0jL7QUA,part_102,2026-09-20 16:44:28
Swapnil Patni Classes Vadodara | Best CA Coaching Classes in Vadodara | CA Online Classes purchase | CA Final | CA Inter |,Commerce and CA Coaching,Educational institution,Educational institution,382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 75750 28123,http://www.cacraft.in/,4.7,109.0,"216 A Wing 2nd Floor, Petrol Pump, Blue Diamond Complex, near Fatehgunj, Fatehgunj, Vadodara, Gujarat 390008",Fatehgunj,22.324358,73.1888453,ChIJmQArbDbPXzkRoe6jv2qQlm4,https://www.google.com/maps/place/?q=place_id:ChIJmQArbDbPXzkRoe6jv2qQlm4,part_102,2026-09-20 16:44:28
CA CS CMA Aditya Jhawar Education (AJ Classes),Commerce and CA Coaching,Coaching Center,"Coaching Center, Education center, Tutoring service",382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 79843 44294,N/A,4.8,270.0,"AJ Classes, 2nd Floor, Shopping Basti Bldg, Karunesh Nagar Society, Aai Mata Rd, nr. Optimum Fitness Gym, opp. Bharat Gas, Model Town, Parvat Patiya, Surat, Gujarat 395010","Model Town, Parvat Patiya",21.1923846,72.8607152,ChIJtbHKf_hR4DsRi9EFTdC_5VM,https://www.google.com/maps/place/?q=place_id:ChIJtbHKf_hR4DsRi9EFTdC_5VM,part_102,2026-09-20 16:44:28
Soham Classes Pvt. Ltd.,Commerce and CA Coaching,Coaching Center,Coaching Center,382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 90990 28940,https://scpledu.com/,4.7,125.0,"Kunal Char Rasta, 301, 302 & 303, Park Plaza, 3rd floor, Gotri - Samta Rd, near Signet plaza, Vadodara, Gujarat 390021","Sumant Park, Subhanpura",22.3204556,73.1436298,ChIJwXsmIMDIXzkR08CLCPzXbes,https://www.google.com/maps/place/?q=place_id:ChIJwXsmIMDIXzkR08CLCPzXbes,part_102,2026-09-20 16:44:28
Indu Classes,Commerce and CA Coaching,Coaching Center,"Coaching Center, Training center, Tutoring service",382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 98795 30616,http://induclasses.com/,4.8,384.0,"Gayatri Krupa, Shankar Tekri, opposite Kalabhuvan College, Dandia Bazar, Vadodara, Gujarat 390001","Shankar Tekri, Dandia Bazar",22.2988178,73.19649129999999,ChIJQeRTIvbFXzkRj9tdhq9kZCs,https://www.google.com/maps/place/?q=place_id:ChIJQeRTIvbFXzkRj9tdhq9kZCs,part_102,2026-09-20 16:44:28
APAR Commerce Institute®,Commerce and CA Coaching,Coaching Center,Coaching Center,382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 74051 77759,http://www.aparinstitute.com/,5.0,562.0,"SF-1,2 Amber Complex Near Mahavir Hall Chaar Rasta, Ajwa Rd, Vadodara, Gujarat 390019","Ashok Nagar Society, Tilak Nagar, Kishanwadi",22.3053639,73.229722,ChIJc1YMDy_PXzkR-X5gWd4TuDc,https://www.google.com/maps/place/?q=place_id:ChIJc1YMDy_PXzkR-X5gWd4TuDc,part_102,2026-09-20 16:44:28
GAPS Institute CA Coaching,Commerce and CA Coaching,Coaching Center,"Coaching Center, Certified public accountant",382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 96878 88788,http://gapsinstitute.com/,4.8,328.0,"Crossroads, Abhushan Complex, Sumul Dairy Rd, Alkapuri, Surat, Gujarat 395008","Alkapuri, Shraddha Society, Katargam",21.2197924,72.8410729,ChIJlQ76PuZO4DsRXvClhCvM9b4,https://www.google.com/maps/place/?q=place_id:ChIJlQ76PuZO4DsRXvClhCvM9b4,part_102,2026-09-20 16:44:28
V-CAN Classes - 11th & 12th CBSE Commerce & Humanities,Commerce and CA Coaching,Education center,"Education center, Coaching Center, Educational institution",382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 99252 20188,https://viraldigitalmarket.in/place/classes/vadodara/v-can-classes/,4.9,114.0,"petrol pump, Gf 31 Blue diamond complex Wing C, near fatehgunj, Fatehgunj, Vadodara, Gujarat 390008",Fatehgunj,22.324358,73.1888453,ChIJZwcYzD3PXzkR_PjgOfrzIQM,https://www.google.com/maps/place/?q=place_id:ChIJZwcYzD3PXzkR_PjgOfrzIQM,part_102,2026-09-20 16:44:28
