business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Balaji Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 93132 12704,N/A,4.8,,"Balaji Medical Store, nr. Ambe mata Temple, Kharakuva, Dholka, Gujarat 382225",Kharakuva,22.7230195,72.4412416,ChIJCwHwU2LsXjkRMryGL9C66FU,https://www.google.com/maps/place/?q=place_id:ChIJCwHwU2LsXjkRMryGL9C66FU,part_102,2026-09-20 16:40:04
Dada Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 95588 17879,N/A,4.7,,"Marutinagar, Kheda, Bagodara Rd, Hari Om Nagar, Dholka, Gujarat 382225",Hari Om Nagar,22.718678999999998,72.4361509,ChIJy7bUsmTsXjkRSmtxmJUp5y8,https://www.google.com/maps/place/?q=place_id:ChIJy7bUsmTsXjkRSmtxmJUp5y8,part_102,2026-09-20 16:40:04
shree gayatri medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 78781 77178,N/A,5.0,,"PFR2+W35, Char Rasta, Kalikund, Dholka, Gujarat 382225","Char Rasta, Kalikund",22.7422711,72.4502206,ChIJJ8Ezk5TsXjkRXTzAkRKnxm0,https://www.google.com/maps/place/?q=place_id:ChIJJ8Ezk5TsXjkRXTzAkRKnxm0,part_102,2026-09-20 16:40:04
HAMD MEDICAL AND PROVITION STORE,Medical Store / Pharmacy,Pharmacy,Pharmacy,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 96647 03078,N/A,,,"SHOPE NO-1, AL-AZIZIYA COMPLEX, Mohammadi Road, nr. Hearty Mart, Lilajpur, Dholka, Gujarat 382225",Lilajpur,22.731228299999998,72.44238829999999,ChIJr1ajSXntXjkR75WQ_aGx96A,https://www.google.com/maps/place/?q=place_id:ChIJr1ajSXntXjkR75WQ_aGx96A,part_102,2026-09-20 16:40:04
Best Medical Stores,Medical Store / Pharmacy,Pharmacy,Pharmacy,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 95495 89879,N/A,,,"Shop No 26, Pramukh Arcade, near Pulan Chowkdi, Dholka, Gujarat 382225",382225,22.7179501,72.4600888,ChIJZ-7szjrtXjkRYl8KA_eQlcY,https://www.google.com/maps/place/?q=place_id:ChIJZ-7szjrtXjkRYl8KA_eQlcY,part_102,2026-09-20 16:40:04
OM PHARMACY,Medical Store / Pharmacy,Pharmacy,Pharmacy,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 81415 16164,N/A,5.0,,"18/1, Kalikund Rd, opp. G.E.B Office, Kalikund, Dholka, Gujarat 382225",Kalikund,22.736830599999998,72.44738629999999,ChIJPwC5X8vtXjkRqiaDjgVqweg,https://www.google.com/maps/place/?q=place_id:ChIJPwC5X8vtXjkRqiaDjgVqweg,part_102,2026-09-20 16:40:04
Sahat Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,N/A,5.0,,"PCGR+GFX, Radhanpuri, Dholka, Gujarat 382225",Radhanpuri,22.7263622,72.44123859999999,ChIJE0o0z4nsXjkRB8Ttks8wBOY,https://www.google.com/maps/place/?q=place_id:ChIJE0o0z4nsXjkRB8Ttks8wBOY,part_102,2026-09-20 16:40:04
Dholka Medical Stores,Medical Store / Pharmacy,Pharmacy,Pharmacy,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 98244 30052,N/A,,,"Kathi Bazar, Lilajpur, Dholka, Gujarat 382225",Lilajpur,22.7286076,72.441613,ChIJT9dtrEbtXjkR-C7fvI6JN8A,https://www.google.com/maps/place/?q=place_id:ChIJT9dtrEbtXjkR-C7fvI6JN8A,part_102,2026-09-20 16:40:04
Kalikund Medical Stores,Medical Store / Pharmacy,Pharmacy,Pharmacy,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,N/A,,,"PFV2+848, Kalikund, Dholka, Gujarat 382225",Kalikund,22.7433183,72.45034869999999,ChIJ428VPQDtXjkRHZXDNbiWU2k,https://www.google.com/maps/place/?q=place_id:ChIJ428VPQDtXjkRHZXDNbiWU2k,part_102,2026-09-20 16:40:04
JAYHIND MEDICAL STORES,Medical Store / Pharmacy,Pharmacy,Pharmacy,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,N/A,,,"PCHQ+MF5, St Bus Stand Rd, near RAM BHOJANALAY, Radhanpuri, SURENDRANAGAR, Dholka, Gujarat 382225",Radhanpuri,22.7291348,72.4387234,ChIJJ8pTVgDtXjkRAf1efqmxUdg,https://www.google.com/maps/place/?q=place_id:ChIJJ8pTVgDtXjkRAf1efqmxUdg,part_102,2026-09-20 16:40:04
