business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Aksharam Medical & Provision Stores,Medical Equipment Supplier,Medical supply store,Medical supply store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,5.0,,"Shop no 3, Rajvi Business Hub, Shamlaji Road, opp. New Civil Hospital, near Collector Office, Modasa, Gajan, Gujarat 383315",383350,23.489916899999997,73.3005948,ChIJS_AoIq_xXTkRnRG9gaclI8Q,https://www.google.com/maps/place/?q=place_id:ChIJS_AoIq_xXTkRnRG9gaclI8Q,part_104,2026-09-20 16:40:08,1948
Shree Vinayak Speciality Gases,Medical Equipment Supplier,Oxygen equipment supplier,Oxygen equipment supplier,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 98254 49298,https://shreevinayakgases.com/,5.0,,"2B/7, near larson chamical, GIDC, Modasa, Ganeshpur, Gujarat 383315",GIDC,23.4758596,73.2909225,ChIJpVxHp8_xXTkRsY2G_Xk8VW8,https://www.google.com/maps/place/?q=place_id:ChIJpVxHp8_xXTkRsY2G_Xk8VW8,part_104,2026-09-20 16:40:08,1949
Madhav Medical Store,Medical Equipment Supplier,Medical supply store,Medical supply store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,5.0,,"F79W+576, GJ SH 5, Modasa, Ganeshpur, Gujarat 383315",383350,23.4679112,73.2956264,ChIJvX1KEITxXTkRTN5WaYPoS6k,https://www.google.com/maps/place/?q=place_id:ChIJvX1KEITxXTkRTN5WaYPoS6k,part_104,2026-09-20 16:40:08,1950
sarvoday medical store,Medical Equipment Supplier,Medical supply store,Medical supply store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 97228 78682,N/A,,,"JAMALVAV, Ghanchiwada, Modasa, Gujarat 383315",Ghanchiwada,23.4640053,73.29312399999999,ChIJtw5paWPxXTkR5kgZviIhNHY,https://www.google.com/maps/place/?q=place_id:ChIJtw5paWPxXTkR5kgZviIhNHY,part_104,2026-09-20 16:40:08,1951
Shyam medical stores,Medical Equipment Supplier,Medical supply store,Medical supply store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 99138 37473,N/A,,,"Shop No-1, Trade Center, Shamlaji Rd, Deep Area, Modasa, Ganeshpur, Gujarat 383315",Deep Area,23.4677272,73.2957045,ChIJyXaYWRDxXTkR_Zv3hBOG574,https://www.google.com/maps/place/?q=place_id:ChIJyXaYWRDxXTkR_Zv3hBOG574,part_104,2026-09-20 16:40:08,1952
life line medical,Medical Equipment Supplier,Medical supply store,Medical supply store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,,,"Peeth Rd, Simalwara, Rajasthan 314403",383350,23.561484999999998,73.74228459999999,ChIJrYNxJnlDZzkRJaGy2x7lArY,https://www.google.com/maps/place/?q=place_id:ChIJrYNxJnlDZzkRJaGy2x7lArY,part_104,2026-09-20 16:40:08,1953
Genral Medical Store,Medical Equipment Supplier,Medical supply store,Medical supply store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,5.0,,"Gopivallabh complex, Janak Park, Hariom Society, Shyamnagar Society, Jalaram Society, Modasa, Gujarat 383315","Hariom Society, Shyamnagar Society, Jalaram Society",23.461610099999998,73.30379239999999,ChIJ6ZHQg_DxXTkRBj9Cz_JE3vk,https://www.google.com/maps/place/?q=place_id:ChIJ6ZHQg_DxXTkRBj9Cz_JE3vk,part_104,2026-09-20 16:40:08,1954
Super Medical & Provision Stores Modasa,Medical Equipment Supplier,Medical supply store,Medical supply store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 97226 06778,N/A,5.0,,"1, keval complex, radhavihar road, Indira Nagar, Modasa, Gujarat 383315",Indira Nagar,23.4622043,73.2955255,ChIJ_Sz6fgDxXTkRPWI6WJoywps,https://www.google.com/maps/place/?q=place_id:ChIJ_Sz6fgDxXTkRPWI6WJoywps,part_104,2026-09-20 16:40:08,1955
Omex Medical Technology Ltd.,Medical Equipment Supplier,Manufacturer,"Manufacturer, Hospital equipment and supplies, Medical equipment supplier, Wholesaler",383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 91049 22336,https://omexmedicaltechnology.co.in/,5.0,,"Plot No:1, Shivalik Industrial Park, At:, Kotadi, Vijapur, Gujarat 384550",At:,23.5442546,72.7228473,ChIJ4_p1kW21XTkR6FHarghIp7k,https://www.google.com/maps/place/?q=place_id:ChIJ4_p1kW21XTkR6FHarghIp7k,part_104,2026-09-20 16:40:08,1956
Shree Ramdev Medical and Provision Store,Medical Equipment Supplier,Medical supply store,Medical supply store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,,,"Ramdev Complex, At, opp. Bus stand, Modasa, Madhupur, Gujarat 383317",383350,23.5595188,73.31241899999999,ChIJEdXGdZXzXTkRzOq3Bt957y0,https://www.google.com/maps/place/?q=place_id:ChIJEdXGdZXzXTkRzOq3Bt957y0,part_104,2026-09-20 16:40:08,1957
