business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SHIV CHILDREN WEARS,Kids Wear Store,Clothing store,Clothing store,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 97230 12997,N/A,5.0,2.0,"J P Plaza Complex, F-16, Kathlal- Nadiad Rd, Fast Fllor, Kathlal, Gujarat 387630",Fast Fllor,22.8878742,72.9823802,ChIJccevonppXjkRVx7hx6kKM6c,https://www.google.com/maps/place/?q=place_id:ChIJccevonppXjkRVx7hx6kKM6c,part_107,2026-09-20 16:40:01
Honey kids wear,Kids Wear Store,Childrens Store,Childrens Store,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 98986 61675,https://www.styset.in/vendorDetailbycode/335495978,4.3,15.0,"Dabhan Bhagole, Near, Station Rd, Nadiad, Gujarat 387001",Junaraopura,22.696768799999997,72.8615256,ChIJBwfacA5bXjkR1LIIB-vm-QQ,https://www.google.com/maps/place/?q=place_id:ChIJBwfacA5bXjkR1LIIB-vm-QQ,part_107,2026-09-20 16:40:01
JASHN SELECTION,Kids Wear Store,Children's clothing store,Children's clothing store,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 88661 35451,N/A,5.0,10.0,"Mali vada Naka, near Bombay Restaurant, Junaraopura, Nadiad, Gujarat 387001",Junaraopura,22.6969283,72.861401,ChIJaQhP3w1bXjkRAAAAMJFKY2s,https://www.google.com/maps/place/?q=place_id:ChIJaQhP3w1bXjkRAAAAMJFKY2s,part_107,2026-09-20 16:40:01
Heloxo Kid's,Kids Wear Store,Baby clothing store,"Baby clothing store, Baby store, Children's clothing store, Childrens Store, Clothing store, Clothing supplier",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 70300 00802,N/A,4.9,416.0,"Shop no-6, Shree Sarju Arena New, Zundal - Tragad Rd, near Satyamev Hospital, Chandkheda, Ahmedabad, Gujarat 382424","Tragad, Chandkheda",23.1205377,72.5756483,ChIJC5213tiDXjkRkuJA0lAWsyY,https://www.google.com/maps/place/?q=place_id:ChIJC5213tiDXjkRkuJA0lAWsyY,part_107,2026-09-20 16:40:01
Jay Ambe Kiran Store,Kids Wear Store,Baby store,Baby store,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 70461 09740,N/A,4.0,2.0,"Chhipadi Gam Rd, opp. Nilkhant Shopping Centre, Mudel Ratanpur, Chhipdi, Mudel Ratanpur, Gujarat 387635",Mudel Ratanpur,22.9565165,72.9158826,ChIJi2JHv6lvXjkRrV5k6SMZ9_I,https://www.google.com/maps/place/?q=place_id:ChIJi2JHv6lvXjkRrV5k6SMZ9_I,part_107,2026-09-20 16:40:01
Ranjit Store,Kids Wear Store,Baby store,Baby store,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 93279 99217,N/A,,,"nr. Uttarbuniyadi Highscool, Aral, Mudel Ratanpur, Gujarat 387635",387635,22.9719262,72.9229204,ChIJjRbfaIVvXjkRe0BXzYd9Q2g,https://www.google.com/maps/place/?q=place_id:ChIJjRbfaIVvXjkRe0BXzYd9Q2g,part_107,2026-09-20 16:40:01
ShreeMeldi mata Genral Store,Kids Wear Store,Baby store,Baby store,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 63532 35176,N/A,,,"349, Road, nr. Navi, Navi, Aral, Gujarat 387635",Navi,22.9742204,72.93126269999999,ChIJdx2SU3BvXjkR6-23hpQVYFk,https://www.google.com/maps/place/?q=place_id:ChIJdx2SU3BvXjkR6-23hpQVYFk,part_107,2026-09-20 16:40:01
KIDS Wear,Kids Wear Store,Children's clothing store,"Children's clothing store, Clothes market",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 99248 74005,N/A,5.0,1.0,"samruddhi complex, F 13, New CG Rd, Full Stop Society, Nigam Nagar, Chandkheda, Ahmedabad, Gujarat 382424","Full Stop Society, Nigam Nagar, Chandkheda",23.108894499999998,72.5880103,ChIJM4LQYACDXjkRtdSV9Omqmhw,https://www.google.com/maps/place/?q=place_id:ChIJM4LQYACDXjkRtdSV9Omqmhw,part_107,2026-09-20 16:40:01
Radhe Novelty Store,Kids Wear Store,Baby store,Baby store,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 97231 46311,N/A,5.0,1.0,"Patiya Cross Road, Chhipdi, Mudel Ratanpur, Gujarat 387635",387635,22.955439,72.9146373,ChIJqX8VKq9vXjkRyklY77y7lcU,https://www.google.com/maps/place/?q=place_id:ChIJqX8VKq9vXjkRyklY77y7lcU,part_107,2026-09-20 16:40:01
Dabhi Vikramsinh Chaturbhai,Kids Wear Store,Baby store,Baby store,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 96380 99009,N/A,5.0,1.0,"Nr Aral Dairy Gam Ni Bhagod, Aral, Mudel Ratanpur, Gujarat 387635",387635,22.970995799999997,72.9226659,ChIJw9o0aCNvXjkRVmIJ9xg4zbM,https://www.google.com/maps/place/?q=place_id:ChIJw9o0aCNvXjkRVmIJ9xg4zbM,part_107,2026-09-20 16:40:01
