business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Divyaraj Guest House,Guesthouse,Home Stay,Home Stay,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 74054 98243,N/A,4.3,65.0,"Sankalp Avenue, Varsola chokdi, varsola, Mahemdavad, Gujarat 387130",387635,22.780347199999998,72.80969979999999,ChIJtwX5HJBdXjkR9smtfdj6l00,https://www.google.com/maps/place/?q=place_id:ChIJtwX5HJBdXjkR9smtfdj6l00,part_107,2026-09-20 16:40:19
Hotel Mayur palace guest house,Guesthouse,Hotel Management Institute,Hotel Management Institute,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",N/A,N/A,5.0,4.0,"Kesar plaza Canara Bank, Balasinor Rd, Pithai, Kathlal, Gujarat 387630",Pithai,22.889554,72.9882167,ChIJ6w4iTntpXjkRpnvpIbijnlQ,https://www.google.com/maps/place/?q=place_id:ChIJ6w4iTntpXjkRpnvpIbijnlQ,part_107,2026-09-20 16:40:19
Hotel Radhey Guest House,Guesthouse,Hotel,Hotel,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 97734 32968,N/A,4.5,29.0,"1 st Floor Mokampura Nr.Kamla Chokdi, Mahemdabad Highway, Nadiad, Gujarat 387130",387635,22.7400365,72.8295783,ChIJ5QBFKzRdXjkRm7JgtNNSM08,https://www.google.com/maps/place/?q=place_id:ChIJ5QBFKzRdXjkRm7JgtNNSM08,part_107,2026-09-20 16:40:19
Hotel Shreenathji,Guesthouse,Guest house,Guest house,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 91575 04746,N/A,4.2,93.0,"3rd Floor Swapnil Arcade Nr amba hotel Ahmedabad, Indore - Ahmedabad Hwy, Chandial, Gujarat 382433",387635,22.996995599999998,72.8187347,ChIJ_6TGeOJlXjkRnhWg5mHOWkE,https://www.google.com/maps/place/?q=place_id:ChIJ_6TGeOJlXjkRnhWg5mHOWkE,part_107,2026-09-20 16:40:19
hotel radhika guest house,Guesthouse,Hotel,Hotel,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 88662 00549,N/A,4.7,240.0,"nr krishna hospital, 2nd floor nildeep arcade, Nadiad - Dakor Rd, opp. union bank odd chokdi, Umreth, Gujarat 388220",387635,22.6969924,73.1075785,ChIJqUSlq9k5XjkRBkRtqbkAe7c,https://www.google.com/maps/place/?q=place_id:ChIJqUSlq9k5XjkRBkRtqbkAe7c,part_107,2026-09-20 16:40:19
HOTEL CHANDAN,Guesthouse,Hotel,Hotel,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",N/A,N/A,5.0,6.0,"3rdfloor, JB PLAZA, Kathlal- Nadiad Rd, Pithai, Kathlal, Gujarat 387630",Pithai,22.8891915,72.9816359,ChIJXQupXwBpXjkRUEht56jlVrc,https://www.google.com/maps/place/?q=place_id:ChIJXQupXwBpXjkRUEht56jlVrc,part_107,2026-09-20 16:40:19
Atithi Hotel & Guest house,Guesthouse,Hotel,"Hotel, Restaurant",387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 98242 83445,N/A,3.9,186.0,"Gadhipura village, Dholka-Kheda Hwy, Radhvanaj, Gujarat 387550",387635,22.7395577,72.655791,ChIJqZ58Bon1XjkRIqpICCVEJvQ,https://www.google.com/maps/place/?q=place_id:ChIJqZ58Bon1XjkRIqpICCVEJvQ,part_107,2026-09-20 16:40:19
Maa Guest House,Guesthouse,Guest house,Guest house,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 98255 92106,N/A,3.3,19.0,"Q44X+4G4, Dakor, Gujarat 388225",387635,22.755272299999998,73.1488146,ChIJx0G-7zI5XjkRY6mvYiuL2ds,https://www.google.com/maps/place/?q=place_id:ChIJx0G-7zI5XjkRY6mvYiuL2ds,part_107,2026-09-20 16:40:19
POONAM GUEST HOUSE,Guesthouse,Guest house,Guest house,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 90168 03743,N/A,4.0,74.0,"police station, Station Rd, near dakor, Bakor, Dakor, Gujarat 388225",Bakor,22.7518633,73.1518193,ChIJ-W0E4jM5XjkRIX2TCadCS34,https://www.google.com/maps/place/?q=place_id:ChIJ-W0E4jM5XjkRIX2TCadCS34,part_107,2026-09-20 16:40:19
hotel sunrise palace guest house,Guesthouse,Hotel,Hotel,387635,Gujarat Circle,Vadodara Region,Kheda Division,"Chhipdi SO, Badarpur BO, Chhipial BO",+91 99133 22949,N/A,4.3,12.0,"krishna prime coplex, Kathlal- Nadiad Rd, chokdi kathal, Kathlal, Gujarat 387630",chokdi kathal,22.8884865,72.9832768,ChIJO-7yyUppXjkRxmPP5lAPkYU,https://www.google.com/maps/place/?q=place_id:ChIJO-7yyUppXjkRxmPP5lAPkYU,part_107,2026-09-20 16:40:19
