business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
VINAYAK PRINTS,Printing Press and Offset Printer,Digital printer,"Digital printer, Banner store, Corporate gift supplier, Digital printing service, Invitation printing service, Offset Printer, Print shop",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 63537 57677,http://vinayakprints.com/,4.7,,"Natvar Flat, A-6, opp. Yamunaji Haveli, Bhaduat Nagar, Janpath Society, Bhadwatnagar, Maninagar, Ahmedabad, Gujarat 380008","Bhaduat Nagar, Janpath Society, Bhadwatnagar, Maninagar",22.9874928,72.6032889,ChIJD7ObL-aFXjkR7gq4esuSD8k,https://www.google.com/maps/place/?q=place_id:ChIJD7ObL-aFXjkR7gq4esuSD8k,part_101,2026-09-20 16:40:23,5060
Shree Printwell Offset Pvt Ltd,Printing Press and Offset Printer,Offset Printer,"Offset Printer, Digital printer, Digital printing service, Manufacturer, Packaging company",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 98794 44445,https://printwellindia.com/,4.4,,"Ravi Estate, G-14 to 16, opp. Gurudwara BRTS Stop, near Torrent Power Substation, Kirti Kunj Society, Tavdipura, Dudheshwar, Ahmedabad, Gujarat 380004","Kirti Kunj Society, Tavdipura, Dudheshwar",23.0482071,72.5800143,ChIJhTUfimWEXjkRL-OmvVKpXSg,https://www.google.com/maps/place/?q=place_id:ChIJhTUfimWEXjkRL-OmvVKpXSg,part_101,2026-09-20 16:40:23,5061
Puthawala Printers,Printing Press and Offset Printer,Offset Printer,"Offset Printer, Digital printing service, Print shop",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 93271 22546,https://www.instagram.com/puthawalaprinters/,4.4,,"107, 1st Floor. Hira Panna Complex B/h. Mahalaxmi Petrol Pump, Nr. Zakariya Masjid, Relief Rd, Ahmedabad, Gujarat 380001","Old City, Tankshal, Khadia",23.027414099999998,72.59580079999999,ChIJj7rxWUiEXjkRVYv0nt_lo2s,https://www.google.com/maps/place/?q=place_id:ChIJj7rxWUiEXjkRVYv0nt_lo2s,part_101,2026-09-20 16:40:23,5062
IMPACT GRAPHICS & PRINT,Printing Press and Offset Printer,Offset Printer,"Offset Printer, Banner store, Commercial printer, Corporate gift supplier, Digital printing service, Event ticket seller, Poster store, Print shop, Sign shop",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 97734 95615,https://impactgraphics.co.in/,5.0,,"House No. 5, Marutinandan Row House Super Society Char Rasta, Jodhpur Tekra, Satellite, Jodhpur Village, Ahmedabad, Gujarat 380015","Chotila, Satellite, Jodhpur Village",23.020906099999998,72.51413149999999,ChIJ_V-mN_aIXjkR5P2IPcIxipk,https://www.google.com/maps/place/?q=place_id:ChIJ_V-mN_aIXjkR5P2IPcIxipk,part_101,2026-09-20 16:40:23,5063
Umiya Offset Printers,Printing Press and Offset Printer,Print shop,Print shop,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 98252 55962,N/A,4.6,,"Shed No.2,3 Kamal Industrial Estate Gate No.01, NR Kamal Restaurant Kewal Kanta, To, Navneet Char Rasta Road, Rakhial, Ahmedabad, Gujarat 380021","Industrial Area, Rakhial",23.0136188,72.62387869999999,ChIJVVVVFXGGXjkR1kEaZZQe9P0,https://www.google.com/maps/place/?q=place_id:ChIJVVVVFXGGXjkR1kEaZZQe9P0,part_101,2026-09-20 16:40:23,5064
Pradipam Offset,Printing Press and Offset Printer,Commercial printer,"Commercial printer, Packaging company",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 79 2216 2268,https://www.linkedin.com/in/pradipam-offset-452a8918b/,5.0,,"37, New grain market, Opp:, Anupam Cinema Rd, nr. Gayatri Dairy Road, Khokhra, Ahmedabad, Gujarat 380008",Khokhra,23.005062199999998,72.6140471,ChIJVVVVxdiFXjkRxKqV3FXVGX8,https://www.google.com/maps/place/?q=place_id:ChIJVVVVxdiFXjkRxKqV3FXVGX8,part_101,2026-09-20 16:40:23,5065
"Shreedhar Printers Pvt. Ltd. Offset Printing Company in india I Bible printing, catalogue printing, Custom Book printing",Printing Press and Offset Printer,Commercial printer,"Commercial printer, Custom label printer, Invitation printing service, Manufacturer, Packaging supply store, Printing equipment supplier, Screen printing shop, 3D printing service",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 79846 54299,http://www.shreedharprinters.in/,4.6,,"Ravi Estate, Dudheshwar Rd, opp. Gurudwara B R T S Bus Stop, Kirti Kunj Society, Tavdipura, Kazipur Dariyapur, Ahmedabad, Gujarat 380004","Kirti Kunj Society, Tavdipura, Kazipur Dariyapur",23.047915399999997,72.579961,ChIJu9vUYG-EXjkR-BoCRqYk6Cc,https://www.google.com/maps/place/?q=place_id:ChIJu9vUYG-EXjkR-BoCRqYk6Cc,part_101,2026-09-20 16:40:23,5066
Hi- Print Offset Printers,Printing Press and Offset Printer,Commercial printer,Commercial printer,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 90990 84850,N/A,4.1,,"NEAR, 87/88,YAMUNA INDUSTRIEAL ESTATE, Jamfalwadi Rd, opp. SHAKRIBA PARTY PLOT, C.T.M, Hatkeshwar, Ahmedabad, Gujarat 380026","C.T.M, Hatkeshwar",22.9930487,72.636436,ChIJWwRaWhaGXjkRp4rGO6dYFLw,https://www.google.com/maps/place/?q=place_id:ChIJWwRaWhaGXjkRp4rGO6dYFLw,part_101,2026-09-20 16:40:23,5067
Rajasthan Printers,Printing Press and Offset Printer,Offset Printer,"Offset Printer, Branding agency, Custom label printer, Digital printing service, Packaging company",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 95129 91272,https://rajasthanprinters.in/,4.9,,"A-142, FF, Suvan Business Park, nr. Keval Kanta Road, Industrial Area, Rakhial, Ahmedabad, Gujarat 380023","Industrial Area, Rakhial",23.0168489,72.6279311,ChIJgXKJOiaHXjkRCF2AX2LKmGY,https://www.google.com/maps/place/?q=place_id:ChIJgXKJOiaHXjkRCF2AX2LKmGY,part_101,2026-09-20 16:40:23,5068
Khushboo Graphics,Printing Press and Offset Printer,Graphic designer,"Graphic designer, Banner store, Bookbinder, Digital printer, Digital printing service, Invitation printing service, Offset Printer, Print shop, Screen printer, Stationery manufacturer",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 93276 12882,http://www.khushboographics.com/,4.9,,"8-9, Swastik Estate, opp. Mony Hotel Road, NH 8, Rajeswari Society, Isanpur, Ahmedabad, Gujarat 382443","NH 8, Rajeswari Society, Isanpur",22.975204299999998,72.59817559999999,ChIJ25-yuFGPXjkRMlL8Z52nsBw,https://www.google.com/maps/place/?q=place_id:ChIJ25-yuFGPXjkRMlL8Z52nsBw,part_101,2026-09-20 16:40:23,5069
