business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
OM ESTATE BROKER,Real Estate Agents,Real estate agency,Real estate agency,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 99748 07262,N/A,4.8,,"11, Under Nathalal Jhagadia Bridge, Mani Nagar Estate Rd, opposite Parimal Hospital, Maninagar, Ahmedabad, Gujarat 380008",Maninagar,22.999988,72.609578,ChIJhRQoet6FXjkRAh7i8YvTUSU,https://www.google.com/maps/place/?q=place_id:ChIJhRQoet6FXjkRAh7i8YvTUSU,part_101,2026-09-20 16:40:27,5862
Dhaara Estate Maninagar,Real Estate Agents,Real estate agent,"Real estate agent, Commercial agent, Industrial real estate agency, Office space rental agency",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 93282 00172,N/A,4.6,,"14, mahalaxmi market, 1, Maninagar Cross Rd, opp. sales india, Balvatika, Maninagar, Ahmedabad, Gujarat 380008","Balvatika, Maninagar",22.9979092,72.6080284,ChIJB5qs7DOFXjkRhJRTddM5RDg,https://www.google.com/maps/place/?q=place_id:ChIJB5qs7DOFXjkRhJRTddM5RDg,part_101,2026-09-20 16:40:27,5863
Shreenath Estate Agency,Real Estate Agents,Real estate agency,Real estate agency,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 93270 93510,https://www.hindustanyellowpages.in/Mobile/9327093510,4.1,,"Shree Vam Flat, opp. Daxini Bus Stand, Daxini Society, Maninagar, Ahmedabad, Gujarat 380008","Daxini Society, Maninagar",22.9915605,72.61153159999999,ChIJwYeRbuKFXjkRBs7H3GPOTp4,https://www.google.com/maps/place/?q=place_id:ChIJwYeRbuKFXjkRBs7H3GPOTp4,part_101,2026-09-20 16:40:27,5864
Apna Realty,Real Estate Agents,Commercial real estate agency,Commercial real estate agency,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 96626 13613,https://www.facebook.com/apnarealty.rv/,4.6,,"Anand Baug Society, 31, beside Bank of Baroda, Maninagar, Ahmedabad, Gujarat 380008","Maninagar East, Maninagar",22.9945058,72.61678289999999,ChIJo1LBwviFXjkRodfSN_iaETI,https://www.google.com/maps/place/?q=place_id:ChIJo1LBwviFXjkRodfSN_iaETI,part_101,2026-09-20 16:40:27,5865
Shree Ram Consultancy And Realtors,Real Estate Agents,Real estate agency,"Real estate agency, Real estate agent",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 88660 01772,N/A,5.0,,"32, Jai Hind Cross Rd, nr. Radhavallabh Mandir, Balvatika, Maninagar, Ahmedabad, Gujarat 380008","Balvatika, Maninagar",22.995590099999998,72.607027,ChIJ2xEsKwCFXjkRBSA4QkOP2p8,https://www.google.com/maps/place/?q=place_id:ChIJ2xEsKwCFXjkRBSA4QkOP2p8,part_101,2026-09-20 16:40:27,5866
SHAKTI ESTATE CONSULTANT,Real Estate Agents,Real estate agency,Real estate agency,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 98246 02591,N/A,4.5,,"B/h, Satyam Tower, 205, Kalrav Complex, opp. Railway Station, Maninagar, Ahmedabad, Gujarat 380008","Daxini Society, Maninagar",22.9914576,72.6107972,ChIJQ492OwqFXjkRQFrBW7w_DWY,https://www.google.com/maps/place/?q=place_id:ChIJQ492OwqFXjkRQFrBW7w_DWY,part_101,2026-09-20 16:40:27,5867
Sitanshu Shah Real Estate Consultant,Real Estate Agents,Real estate agency,Real estate agency,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 98981 04442,N/A,3.8,,"Kankaria Rd, opp. Picnic House Parking Gate, Jagabhai Park, Maninagar, Ahmedabad, Gujarat 380008","Jagabhai Park, Maninagar",23.001858,72.6025858,ChIJL7Ik2_mFXjkRepIYNR-iPv4,https://www.google.com/maps/place/?q=place_id:ChIJL7Ik2_mFXjkRepIYNR-iPv4,part_101,2026-09-20 16:40:27,5868
S.P Property,Real Estate Agents,Real estate agency,Real estate agency,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",N/A,N/A,5.0,,"1, Ramkrishna Parmarth Marg, Maningar East, Ahbab Nagar, Maninagar East, Khokhra, Ahmedabad, Gujarat 380008","Maningar East, Ahbab Nagar, Maninagar East, Khokhra",22.994607499999997,72.6192765,ChIJZVkkvwuGXjkR7tm3grMbD7I,https://www.google.com/maps/place/?q=place_id:ChIJZVkkvwuGXjkR7tm3grMbD7I,part_101,2026-09-20 16:40:27,5869
Mahayogi Realty,Real Estate Agents,Real estate consultant,"Real estate consultant, Commercial agent, Commercial real estate agency, Real estate agent",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 87806 75033,http://www.mahayogirealty.com/,4.3,,"1st Floor, Ghodasar Canal Rd, near Rajbagh Society Corner, New Arti Society, Ghodasar, Ahmedabad, Gujarat 380050","New Arti Society, Ghodasar",22.9809591,72.6108393,ChIJR-tcmSiFXjkRhIIvDNSGi4g,https://www.google.com/maps/place/?q=place_id:ChIJR-tcmSiFXjkRhIIvDNSGi4g,part_101,2026-09-20 16:40:27,5870
Propagerealty,Real Estate Agents,Industrial real estate agency,Industrial real estate agency,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 76240 12401,https://propagerealty.com/home/,5.0,,"Second Floor, B/SF-21, Radhe Shopping Mall, Anupam Cinema Rd, Maninagar East, Khokhra, Ahmedabad, Gujarat 380026","Maninagar East, Khokhra",23.003016799999997,72.61858579999999,ChIJ7VpmFFqHXjkRL8I8UlCtj5s,https://www.google.com/maps/place/?q=place_id:ChIJ7VpmFFqHXjkRL8I8UlCtj5s,part_101,2026-09-20 16:40:27,5871
