business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Vishal Borewell Drilling Service,Borewell Drilling Contractor,Well drilling contractor,"Well drilling contractor, Drilling contractor, Engineering consultant, Environmental health service, Geological service, Irrigation equipment supplier, Pump supplier, Tubewell Contractor, Water Pump Supplier, Water works equipment supplier",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 84698 77021,https://vishalborewell.com/,4.9,89.0,"303, Sanidhya Residency, Near 5 Bhadran EME Abhilsha Road, New Sama Rd, New Sama, Vadodara, Gujarat 390008","Bhadran Nagar, New Sama",22.3394914,73.18624129999999,ChIJ030Msl_7q64RosZjtj4LzKU,https://www.google.com/maps/place/?q=place_id:ChIJ030Msl_7q64RosZjtj4LzKU,part_103,2026-09-20 16:40:15,4198
Amdavad Borewell,Borewell Drilling Contractor,Well drilling contractor,Well drilling contractor,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 95109 69651,https://amdavadborewell.com/,5.0,42.0,"Shade No.2, Amarnath Industrial Park, Singarwa, Ahmedabad, Gujarat 382430",Singarwa,23.024858599999998,72.69677039999999,ChIJLX4LkaGHXjkRqkiFObqpX7U,https://www.google.com/maps/place/?q=place_id:ChIJLX4LkaGHXjkRqkiFObqpX7U,part_103,2026-09-20 16:40:15,4199
Quality Borewell,Borewell Drilling Contractor,Drilling contractor,"Drilling contractor, Tubewell Contractor",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 97237 70270,https://qualityborewell.com/,5.0,30.0,"Ganesh Nagar, Shop No. 2, Raj Way Bridge, Piplaj - Pirana Rd, Ahmedabad, Gujarat 382405",Piplaj,22.966705299999997,72.5574626,ChIJv2f3LCmPXjkRZD9HsHJRlyU,https://www.google.com/maps/place/?q=place_id:ChIJv2f3LCmPXjkRZD9HsHJRlyU,part_103,2026-09-20 16:40:15,4200
Mahisagar Borewell - Best Borewell in Vadodara & Submersible Pump Services,Borewell Drilling Contractor,Well drilling contractor,Well drilling contractor,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 81539 78053,https://www.mahisagarborewell.com/,4.8,128.0,"F/122, near manhar park, Sahjanand Krupa Society, Ayodhya Twp, Tarsali, Vadodara, Gujarat 390009","Sahjanand Krupa Society, Ayodhya Township, Tarsali",22.249474,73.208049,ChIJpcDlnC3FXzkRZDcd2dxrpVA,https://www.google.com/maps/place/?q=place_id:ChIJpcDlnC3FXzkRZDcd2dxrpVA,part_103,2026-09-20 16:40:15,4201
Amidhara Borewell,Borewell Drilling Contractor,Water works equipment supplier,Water works equipment supplier,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 91066 04895,https://www.amidharaborewell.com/,4.9,79.0,"Sahajanand Krupa Society, F/110, Ayodhya Twp, Tarsali, Vadodara, Gujarat 390009","Ayodhya Township, Tarsali",22.248958899999998,73.2083245,ChIJ-Xg69qTFXzkRrl32Ww5hW9o,https://www.google.com/maps/place/?q=place_id:ChIJ-Xg69qTFXzkRrl32Ww5hW9o,part_103,2026-09-20 16:40:15,4202
PATEL BOREWELL,Borewell Drilling Contractor,Tubewell Contractor,Tubewell Contractor,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 85118 10937,http://www.patelborewell.in/,5.0,5.0,"1st Floor, Ayush Avenue, A/4, nr. Lotus School, Ekta Park Society, Jay Krishna Society, Isanpur, Ahmedabad, Gujarat 382443","Ekta Park Society, Jay Krishna Society, Isanpur",22.9779955,72.6003776,ChIJ_ZGC9OKFXjkRTFkc0Ua29YU,https://www.google.com/maps/place/?q=place_id:ChIJ_ZGC9OKFXjkRTFkc0Ua29YU,part_103,2026-09-20 16:40:15,4203
Apsara Borewell,Borewell Drilling Contractor,Drilling contractor,Drilling contractor,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 99287 43786,N/A,5.0,40.0,"Papditoll-tax, Alwar - Bhiwadi Rd, Mahrampur, Rajasthan 301405",382650,27.7161002,76.7439732,ChIJ69sHGwC_cjkRBYwV1hIm_Lg,https://www.google.com/maps/place/?q=place_id:ChIJ69sHGwC_cjkRBYwV1hIm_Lg,part_103,2026-09-20 16:40:15,4204
Podar Borewell - Borewell Contractors | Tube well | Rainwater Harvesting | Percolation Well | Recharge Well,Borewell Drilling Contractor,Drilling contractor,"Drilling contractor, Contractor, Well drilling contractor",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 98244 48082,https://podarborewell.com/,5.0,133.0,"Sikandar Market Rd, nr. Makka Masjid, Danilimda, Ahmedabad, Gujarat 380028",Danilimda,22.987223699999998,72.5751405,ChIJTdtVQfuFXjkRD2MdmW2HTOQ,https://www.google.com/maps/place/?q=place_id:ChIJTdtVQfuFXjkRD2MdmW2HTOQ,part_103,2026-09-20 16:40:15,4205
PA Borewell Service,Borewell Drilling Contractor,Well drilling contractor,"Well drilling contractor, Drilling contractor, Tubewell Contractor",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 98799 99454,N/A,4.9,175.0,"Ranchhodnagar Society, nr. Bileshwar Mahadev Temple, Ranchhod Nagar, Manjalpur, Vadodara, Gujarat 390011","Ranchhod Nagar, Manjalpur",22.271072,73.1862902,ChIJdZw4u9nFXzkR7dy7XA7C23E,https://www.google.com/maps/place/?q=place_id:ChIJdZw4u9nFXzkR7dy7XA7C23E,part_103,2026-09-20 16:40:15,4206
Krishna borewell service,Borewell Drilling Contractor,Well drilling contractor,Well drilling contractor,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 98249 85099,https://krishna-borewell-service.grexa.site/,4.9,140.0,"C-5, Shreeji Park, society, Tulsidham Cir, Maninagar Society, Manjalpur, Vadodara, Gujarat 390011","Maninagar Society, Manjalpur",22.267654699999998,73.196604,ChIJpV7IP8XFXzkRTkSlUCeObYU,https://www.google.com/maps/place/?q=place_id:ChIJpV7IP8XFXzkRTkSlUCeObYU,part_103,2026-09-20 16:40:15,4207
