business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Export Import Consultant - EXIM ADVICE,EXIMS,Business management consultant,Business management consultant,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 79903 52486,https://eximadvice.com/,5.0,34.0,"503-C, Sahajanand Shopping Centre Complex, Dr Ambedkar Rd, opposite Rajasthan School, Shahibag, Ahmedabad, Gujarat 380004",Shahibag,23.0466338,72.5886893,ChIJ3zQrDw6FXjkRC8bkCUmaRps,https://www.google.com/maps/place/?q=place_id:ChIJ3zQrDw6FXjkRC8bkCUmaRps,part_103,2026-09-20 16:40:32,7670
Shivlaxmi EXIM,EXIMS,Honey farm,Honey farm,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",N/A,N/A,5.0,1.0,"C-71, Green City, Sector 26, Gandhinagar, Gujarat 382028","Green City, Sector 26",23.2570721,72.6408507,ChIJSxj13cYtXDkR-zsluaBHlJI,https://www.google.com/maps/place/?q=place_id:ChIJSxj13cYtXDkR-zsluaBHlJI,part_103,2026-09-20 16:40:32,7671
NS Exim,EXIMS,Exporter,Exporter,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 98251 09704,https://nsexim.in/,,,"ambika estate, 1, Devnagar Rd, Gota, Ahmedabad, Gujarat 382481",Gota,23.0973966,72.5371261,ChIJj83ZKd2DXjkR8dMYlZTGFWc,https://www.google.com/maps/place/?q=place_id:ChIJj83ZKd2DXjkR8dMYlZTGFWc,part_103,2026-09-20 16:40:32,7672
Adinath Exim,EXIMS,Import export company,Import export company,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 84608 12013,N/A,,,"Plot No. 414/1, Sector 22, Gandhinagar, Gujarat 382022",Sector 22,23.2382723,72.6556885,ChIJSQOyrAIrXDkR7cQxTGvmQjA,https://www.google.com/maps/place/?q=place_id:ChIJSQOyrAIrXDkR7cQxTGvmQjA,part_103,2026-09-20 16:40:32,7673
Inox Exim Pvt Ltd,EXIMS,Metal supplier,Metal supplier,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 81408 92300,http://inoxexim.com/,5.0,,"Elanza Crest, C-202, Sindhu Bhavan Marg, Thaltej, Ahmedabad, Gujarat 380059",Thaltej,23.038857399999998,72.50488779999999,ChIJORxkymvW1EwRSjrfkFE4sYg,https://www.google.com/maps/place/?q=place_id:ChIJORxkymvW1EwRSjrfkFE4sYg,part_103,2026-09-20 16:40:33,7674
Horizon Exim,EXIMS,Import export company,Import export company,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",N/A,https://www.horizonexim.co.in/,5.0,,"office no 814, Corporate Rd, Makarba, Ahmedabad, Gujarat 380051",Makarba,22.9988282,72.5010381,ChIJibX6bV-bXjkRFFFhHJW4RDE,https://www.google.com/maps/place/?q=place_id:ChIJibX6bV-bXjkRFFFhHJW4RDE,part_103,2026-09-20 16:40:33,7675
SHYAM EXIM,EXIMS,Clothing store,Clothing store,382721,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kalol HO, Kalol Gandhi Road SO, Kalol Society Area SO",N/A,N/A,5.0,1.0,"7G55+JM6, Kalol, Gujarat 382721",382721,23.2590291,72.50916029999999,ChIJq3_ISQAlXDkRmyuyQT_Z3KQ,https://www.google.com/maps/place/?q=place_id:ChIJq3_ISQAlXDkRmyuyQT_Z3KQ,part_103,2026-09-20 16:41:06,11600
Zen Exim Private Limited,EXIMS,Corporate office,Corporate office,382722,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Santej SO,+91 79 6777 1900,https://www.zengroup.co.in/,4.6,,"2nd Floor, Shakti 404, Sarkhej - Gandhinagar Hwy, opp. New Gurudwara, Thaltej, Ahmedabad, Gujarat 380054",Thaltej,23.0441823,72.5152722,ChIJFVUM-k2bXjkRZw1TyBUNbuQ,https://www.google.com/maps/place/?q=place_id:ChIJFVUM-k2bXjkRZw1TyBUNbuQ,part_103,2026-09-20 16:41:45,17642
Exim Pathshala,EXIMS,Training center,Training center,382722,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Santej SO,+91 98249 18399,https://eximpathshala.com/,5.0,,"City Centre 2, 921, Panchamrut Bunglows II, Sola, Ahmedabad, Gujarat 380060","Panchamrut Bunglows II, Sola",23.0709114,72.5182181,ChIJm7hJWACdXjkRwytBDCl7DHs,https://www.google.com/maps/place/?q=place_id:ChIJm7hJWACdXjkRwytBDCl7DHs,part_103,2026-09-20 16:41:45,17643
Excellent Exim Institute,EXIMS,Vocational school,"Vocational school, Education center",382722,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Santej SO,+91 99988 44661,http://www.excellenteximinstitute.com/,3.8,,"622 Shilp Epitome, near Infostretch., behind Rajpath Rangoli Road, Ahmedabad, Gujarat 380059",Bodakdev,23.0354413,72.5043766,ChIJHUOKTNibXjkRLqNsAecYqWs,https://www.google.com/maps/place/?q=place_id:ChIJHUOKTNibXjkRLqNsAecYqWs,part_103,2026-09-20 16:41:45,17644
