business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Shiva's Coffee Bar,Cafe and Coffee Shop,Cafe,Cafe,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 94099 26090,https://www.shivascoffeebar.com/,4.9,42.0,"Shop No. 02, Sharan Business, near D-Mart, Green City, Sector 26, Gandhinagar, Gujarat 382028","Green City, Sector 26",23.2560994,72.6391792,ChIJpaLNA2otXDkRdA2qF-XOxDM,https://www.google.com/maps/place/?q=place_id:ChIJpaLNA2otXDkRdA2qF-XOxDM,part_103,2026-09-20 16:40:02,1127
Shree nath cafe & chaat,Cafe and Coffee Shop,Cafe,"Cafe, Panipuri shop",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 70416 49876,N/A,4.8,70.0,"Shop No : 16, Shreeji complex, cross road, Balva, Gujarat 382650",382650,23.3510949,72.64433439999999,ChIJrWooMAAzXDkRSVcIR1BRP0o,https://www.google.com/maps/place/?q=place_id:ChIJrWooMAAzXDkRSVcIR1BRP0o,part_103,2026-09-20 16:40:02,1128
The village Cafe & Bar,Cafe and Coffee Shop,Coffee shop,Coffee shop,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 81409 27549,N/A,4.4,9.0,"7JC3+XXC, Sonipur - Kolavada Rd, opposite Ayurveda hospital, Gujarat 382028",382650,23.2724275,72.6048769,ChIJGRoxFH4vXDkRS3tKzW3cPSw,https://www.google.com/maps/place/?q=place_id:ChIJGRoxFH4vXDkRS3tKzW3cPSw,part_103,2026-09-20 16:40:02,1129
COFFEE STAND ®- PDPU,Cafe and Coffee Shop,Cafe,Cafe,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 91068 63604,http://coffeestand.in/,4.1,133.0,"Coffee Stand Happiness Circle, PDPU Rd, Raysan, Gandhinagar, Gujarat 382426",382650,23.158372099999998,72.6495331,ChIJK6LCWV6BXjkRK-Mqaw8vEzM,https://www.google.com/maps/place/?q=place_id:ChIJK6LCWV6BXjkRK-Mqaw8vEzM,part_103,2026-09-20 16:40:02,1130
Shambhu’s Coffee Bar,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Cafe",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 88661 22249,N/A,5.0,28.0,"Shop 10, Shivashish Sixty, opp. Karnavati University, Uvarsad, Gujarat 382421",382650,23.2035154,72.58546799999999,ChIJTUraaAspXDkRZD302tpOiu0,https://www.google.com/maps/place/?q=place_id:ChIJTUraaAspXDkRZD302tpOiu0,part_103,2026-09-20 16:40:02,1131
Patnagar Café,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Breakfast restaurant, Brunch restaurant, Cafe, Fast food restaurant, Pizza restaurant, Sandwich shop, Tea house",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 89808 81574,https://patnagarcafe.com/,4.9,352.0,"Shalin complex, B3, Rd No. 5, near Gh-5 circle, Sector 22, Gandhinagar, Gujarat 382021",Sector 22,23.232041799999998,72.653864,ChIJ69srqegrXDkRmj_E0KW-l5o,https://www.google.com/maps/place/?q=place_id:ChIJ69srqegrXDkRmj_E0KW-l5o,part_103,2026-09-20 16:40:02,1132
Shiva's Coffee Bar,Cafe and Coffee Shop,Coffee shop,Coffee shop,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 83559 16618,https://www.shivascoffeebar.com/,4.4,66.0,"Gujarat International Finance Tec-City, Elixir prime business, PDPU, Raysan Rd, Gandhinagar, Gujarat 382426",382650,23.1570419,72.6575598,ChIJMbQPXKSBXjkRxQTDFw6-xZE,https://www.google.com/maps/place/?q=place_id:ChIJMbQPXKSBXjkRxQTDFw6-xZE,part_103,2026-09-20 16:40:02,1133
"Shiva's Coffee Bar and Snacks, Sector-25",Cafe and Coffee Shop,Coffee shop,"Coffee shop, Cafe, Fast food restaurant",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 94099 26090,N/A,4.4,184.0,"golden arcade, Sr no 1, GIDC Electronic Estate, Sector 25, Gandhinagar, Gujarat 382016","GIDC Electronic Estate, Sector 25",23.2504957,72.6385529,ChIJYVRO6XwrXDkR3mgcbAtnLQ8,https://www.google.com/maps/place/?q=place_id:ChIJYVRO6XwrXDkR3mgcbAtnLQ8,part_103,2026-09-20 16:40:02,1134
Shivas coffee bar,Cafe and Coffee Shop,Cafe,"Cafe, Restaurant",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 76006 64217,https://www.shivascoffeebar.com/,4.4,118.0,"Shiva's coffee bar, road, Gujarat International Finance Tec-City, Shahpur, Gujarat 382355",Gujarat International Finance Tec-City,23.185829299999998,72.6633102,ChIJDxRFi-MrXDkRMS2pqZLSyb8,https://www.google.com/maps/place/?q=place_id:ChIJDxRFi-MrXDkRMS2pqZLSyb8,part_103,2026-09-20 16:40:02,1135
Shiva's Coffee Bar,Cafe and Coffee Shop,Cafe,Cafe,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 77779 56184,https://www.shivascoffeebar.com/,4.1,641.0,"Shop No. 4, Plot No. 386, G 5 Cir, Sector 16, Gandhinagar, Gujarat 382016",Sector 16,23.229909799999998,72.6487884,ChIJ-WtETr0rXDkRXsgt0JxhkfI,https://www.google.com/maps/place/?q=place_id:ChIJ-WtETr0rXDkRXsgt0JxhkfI,part_103,2026-09-20 16:40:02,1136
