business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
H.R. Honda,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Honda dealer",383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 99183 22022,https://hrhonda.in/,4.5,1348.0,"HXJ8+8J7 Nr. Arts & Commerce College, NH-8, Sabarkath Road, Sahakari Jin, Motipura, Himatnagar, Gujarat 383001","Sahakari Jin, Motipura",23.58079,72.96655779999999,ChIJe9Ninpe4XTkRbwWR2NI-GYA,https://www.google.com/maps/place/?q=place_id:ChIJe9Ninpe4XTkRbwWR2NI-GYA,part_104,2026-09-20 16:40:10
GAYATRI YAMAHA SHOWROOM MALPUR,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,4.9,9.0,"9F79+FRM, Malpur, Gujarat 383345",383350,23.3637195,73.4695414,ChIJtfS_acFXZzkRIHAE5n6pYBc,https://www.google.com/maps/place/?q=place_id:ChIJtfS_acFXZzkRIHAE5n6pYBc,part_104,2026-09-20 16:40:10
Pavan Auto Agency - Hero MotoCorp,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motorcycle parts store, Two Wheeler Repair Shop, Motorcycle shop",383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 92899 22826,https://dealers.heromotocorp.com/hero-motocorp/dealer-in-aravalli/dealer-in-Ganesh-Pur/pavan-auto-agency-hero-motocorp-in-Ganesh-Pur-aravalli--6xIW0E/home,4.0,442.0,"Ground Floor Shamlaji Road, opposite GIDC, Ganeshpur, Gujarat 383315",GIDC,23.4806375,73.2944835,ChIJ____P8_xXTkRpJVg6eWvJcw,https://www.google.com/maps/place/?q=place_id:ChIJ____P8_xXTkRpJVg6eWvJcw,part_104,2026-09-20 16:40:10
Royal Enfield Showroom - Rajvee Motors,Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 96190 47394,https://dealers.royalenfield.com/gujarat/modasa/tintoi-road-rajvee-motors-9110080610?utm_source=GMBlisting&utm_medium=organic,4.8,742.0,"Rajvee Motors Aravalli, Modasa, Gujarat 383315",GIDC,23.479846499999997,73.2943329,ChIJId5zC-_xXTkRysRFxT15ods,https://www.google.com/maps/place/?q=place_id:ChIJId5zC-_xXTkRysRFxT15ods,part_104,2026-09-20 16:40:10
Sakal Bajaj,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 89805 50684,N/A,4.0,133.0,"Ahemadabad - Modasa Road, GIDC, Ganeshpur, Gujarat 383315",GIDC,23.473915299999998,73.2933991,ChIJQ7j9yc7xXTkRwmpWcEti46w,https://www.google.com/maps/place/?q=place_id:ChIJQ7j9yc7xXTkRwmpWcEti46w,part_104,2026-09-20 16:40:10
TVS - Agwan Motors Pvt. Ltd.,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motor scooter dealer, Motor vehicle dealer, Motorcycle shop",383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 95131 05321,https://dealers.tvsmotor.com/tvs-motors/tvs-agwan-motors-pvt-ltd-two-wheeler-dealer-ganeshpura-circle-sabarkantha-174136/Home?utm_source=locator&utm_medium=googleplaces,4.1,173.0,"Shop No 8, 9 & 10, AKC Complex Ganeshpura Circle, opposite Royal Enfield Showroom, Gujarat 383315",GIDC,23.47966,73.29455469999999,ChIJf4qAGc_xXTkRmGAvIXNtorY,https://www.google.com/maps/place/?q=place_id:ChIJf4qAGc_xXTkRmGAvIXNtorY,part_104,2026-09-20 16:40:10
ASHA SALES AGENCY,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 81560 36402,https://www.facebook.com/AshaSalesAgency/,4.6,242.0,"Bayad, Road, Dhansura, Gujarat 383310",383350,23.343502899999997,73.20820719999999,ChIJfZA2UUDkXTkRYS7A3FzTNJc,https://www.google.com/maps/place/?q=place_id:ChIJfZA2UUDkXTkRYS7A3FzTNJc,part_104,2026-09-20 16:40:10
Shreeji Auto Agency - Hero MotoCorp,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 70169 44788,https://dealers.heromotocorp.com/locator/aravalli/shamlaji/shreeji-auto-agency-hero-motocorp-in-shamlaji-aravalli--4ppHie/home,5.0,5.0,"Shop No 4, Krishna Arcade, nearby Eklavya Library & Education Center, Bhavanpur, Samalaji, Gujarat 383355",383350,23.6811281,73.36487029999999,ChIJN1TzMwCNXTkRH-Hq-dmXaFY,https://www.google.com/maps/place/?q=place_id:ChIJN1TzMwCNXTkRH-Hq-dmXaFY,part_104,2026-09-20 16:40:10
Yamaha Motor Showroom - Expert Auto,Two Wheeler Showroom and Dealer,Motorcycle shop,"Motorcycle shop, Two Wheeler Dealer, Scooter repair shop",383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 94276 18491,https://www.yamaha-motor-india.com/?utm_medium=locator&utm_source=gmb-listing&utm_campaign=yamahamotorshowroom_expert_auto_yamaha_59600,4.6,307.0,"NEAR, Motipura Cir, GIDC, Motipura, Himatnagar, Gujarat 383001","GIDC, Motipura",23.582633299999998,72.958013,ChIJV2qY5I24XTkRCnmAhxSsQ7k,https://www.google.com/maps/place/?q=place_id:ChIJV2qY5I24XTkRCnmAhxSsQ7k,part_104,2026-09-20 16:40:10
Royal Enfield Showroom - Rajvee Auto,Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 96190 56278,https://dealers.royalenfield.com/gujarat/sabarkantha/piplodi-rajvee-auto-9110059140?utm_source=GMBlisting&utm_medium=organic,4.7,970.0,"Piplodi, Gujarat 383006",383350,23.5603891,72.95176529999999,ChIJtyriCua4XTkR4U0OtszlFsE,https://www.google.com/maps/place/?q=place_id:ChIJtyriCua4XTkR4U0OtszlFsE,part_104,2026-09-20 16:40:10
Sakal Bajaj (Himmatnagar),Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motor vehicle dealer",383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 72198 21111,https://www.bajajauto.com/motor-bikes?utm_source=Google_Search&utm_medium=Search&utm_campaign=GMB&utm_term=Sakal%20Auto_Himatnagar_Motipura,4.1,343.0,"N.H.No.8, Sahakari Jin Rd, near Science College, Sahakari Jin, Motipura, Himatnagar, Gujarat 383001","Sahakari Jin, Motipura",23.5808803,72.96699,ChIJxSriCua4XTkRh_TEgQtHiRU,https://www.google.com/maps/place/?q=place_id:ChIJxSriCua4XTkRh_TEgQtHiRU,part_104,2026-09-20 16:40:10
MM HONDA ( 2 wheeler honda dealer ),Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 97838 84699,N/A,4.6,47.0,"Mandli Rd, Gafur Basti, Simalwara, Rajasthan 314403",Gafur Basti,23.5647135,73.74170409999999,ChIJfQ9bN_lDZzkRZoEcq8TJ88A,https://www.google.com/maps/place/?q=place_id:ChIJfQ9bN_lDZzkRZoEcq8TJ88A,part_104,2026-09-20 16:40:10
Dwarkesh Honda,Two Wheeler Showroom and Dealer,Auto parts store,Auto parts store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 75758 07525,N/A,4.1,511.0,"Near, Shamalaji Road, GIDC, Ganeshpur, Modasa, Gujarat 383315",GIDC,23.479415799999998,73.2947137,ChIJNQA8GWPxXTkRaZPHiIp6QMg,https://www.google.com/maps/place/?q=place_id:ChIJNQA8GWPxXTkRaZPHiIp6QMg,part_104,2026-09-20 16:40:10
"M M Honda - Two Wheeler Showroom in Peeth, Dungarpur",Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 83028 84699,http://honda2wheelersindia.com/,5.0,2.0,"Bus Stand, Peeth, Rajasthan 314406",383350,23.5294091,73.7617547,ChIJia8wJTpHZzkRDep0vSnerpU,https://www.google.com/maps/place/?q=place_id:ChIJia8wJTpHZzkRDep0vSnerpU,part_104,2026-09-20 16:40:10
"Suzuki Motorcycle (Bhagvati Motors, Himmat Nagar, Modasa)",Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 94295 46274,https://www.suzukimotorcycle.co.in/,5.0,2.0,"Ganeshpura Char Rasta, Shamlaji Rd, opp. National Hotel, Hajira, Modasa, Gujarat 383315",GIDC,23.4774232,73.29367169999999,ChIJL0we6prxXTkR5ZvH8SE__AA,https://www.google.com/maps/place/?q=place_id:ChIJL0we6prxXTkR5ZvH8SE__AA,part_104,2026-09-20 16:40:10
Hero Showroom Pandarwada,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,4.5,4.0,"9JCJ+6WW, road, Pandarwada, Gujarat 389232",383350,23.371202399999998,73.6336243,ChIJ5QfDNwBRZzkRiHQee_T9EJ8,https://www.google.com/maps/place/?q=place_id:ChIJ5QfDNwBRZzkRiHQee_T9EJ8,part_104,2026-09-20 16:40:10
Ridham Auto Agency,Two Wheeler Showroom and Dealer,Motor vehicle dealer,Motor vehicle dealer,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,4.1,69.0,"Modasa-Malpur Rd, Malpur, Gujarat 383345",383350,23.3663645,73.4620276,ChIJrRaqraH4XTkRc3pHN1WX0pY,https://www.google.com/maps/place/?q=place_id:ChIJrRaqraH4XTkRc3pHN1WX0pY,part_104,2026-09-20 16:40:10
