business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DN HOME MART,Departmental Store,Shopping mall,Shopping mall,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 72010 84097,N/A,5.0,89.0,"Rellavada, ta, meghraj, Modasa, Gujarat 383251",meghraj,23.613384,73.4677837,ChIJd5jNB-tfZzkRJBr274rnFB8,https://www.google.com/maps/place/?q=place_id:ChIJd5jNB-tfZzkRJBr274rnFB8,part_104,2026-09-20 16:39:59
Panchal Brothers Mart,Departmental Store,Indian grocery store,Indian grocery store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,4.5,51.0,"Road No. 10, near ShreeNath Farsan, Shrinagar, Idar, Gujarat 383430",Shrinagar,23.8355188,73.0059756,ChIJXWDbO3yjXTkRjopUe1O6lWQ,https://www.google.com/maps/place/?q=place_id:ChIJXWDbO3yjXTkRjopUe1O6lWQ,part_104,2026-09-20 16:39:59
"Sanjari Traders,Meghraj",Departmental Store,Indian grocery store,Indian grocery store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 98250 52832,N/A,4.5,22.0,"Meghraj, Gujarat 383350",383350,23.4946876,73.50907269999999,ChIJf45BdsRZZzkRbBt0eUCNJf4,https://www.google.com/maps/place/?q=place_id:ChIJf45BdsRZZzkRbBt0eUCNJf4,part_104,2026-09-20 16:39:59
PARAS KIRANA STORES,Departmental Store,General store,General store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 96011 33205,N/A,5.0,1.0,"Unnamed Road, Meghraj, Vaniyad, Gujarat 383315",383350,23.5189348,73.39131549999999,ChIJc6Mmc1v3XTkR-b_QLvYOsxg,https://www.google.com/maps/place/?q=place_id:ChIJc6Mmc1v3XTkR-b_QLvYOsxg,part_104,2026-09-20 16:39:59
MODI SQUARE,Departmental Store,General store,General store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 95869 60705,N/A,4.6,,"Shop No 2, Shree Complex, Anand Nagar Society, Gitanjali Society, Modasa, Gujarat 383315","Anand Nagar Society, Gitanjali Society",23.4575952,73.3092711,ChIJK2P1YGbxXTkRtRxSaBMzHZs,https://www.google.com/maps/place/?q=place_id:ChIJK2P1YGbxXTkRtRxSaBMzHZs,part_104,2026-09-20 16:39:59
Kasva Kirana Stores,Departmental Store,Grocery store,Grocery store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 93281 63060,N/A,4.1,,"JWCQ+C3M, Panpur, Savgadh, Gujarat 383002",Panpur,23.6210815,72.9376774,ChIJnf1tc6-5XTkRkGWl84N3xms,https://www.google.com/maps/place/?q=place_id:ChIJnf1tc6-5XTkRkGWl84N3xms,part_104,2026-09-20 16:39:59
Aadhaar Supermarket,Departmental Store,Grocery store,Grocery store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,4.3,,"param complex, G15, near Adhar Supermarket, Dhansura, Gujarat 383310",383350,23.3478657,73.2066176,ChIJS26zaFPlXTkREDKKA3y_uiQ,https://www.google.com/maps/place/?q=place_id:ChIJS26zaFPlXTkREDKKA3y_uiQ,part_104,2026-09-20 16:39:59
Arbuda Traders Ambaliya,Departmental Store,Grocery store,Grocery store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,4.1,,"175, National Highway, 175, National Highway, Ambaliya, Gujarat 383345",383350,23.339736799999997,73.5378436,ChIJ1YJxsRdUZzkRR4wyDWIgs0Q,https://www.google.com/maps/place/?q=place_id:ChIJ1YJxsRdUZzkRR4wyDWIgs0Q,part_104,2026-09-20 16:40:00
R mart superstore,Departmental Store,Shopping mall,Shopping mall,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,4.8,26.0,"Harijanwas, Lunawada, Gujarat 389230",Harijanwas,23.1321092,73.61186219999999,ChIJaXjpU3GvYDkRsElpT1rnj5Y,https://www.google.com/maps/place/?q=place_id:ChIJaXjpU3GvYDkRsElpT1rnj5Y,part_104,2026-09-20 16:40:00
G.I.D.C Rampura TALOD,Departmental Store,Supermarket,Supermarket,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,3.8,26.0,"9W9F+Q4X, Unnamed Road, Kherol, Gujarat 383215",383350,23.369476799999997,72.9228456,ChIJ74XQLsjaXTkRakc-Mxhpm3I,https://www.google.com/maps/place/?q=place_id:ChIJ74XQLsjaXTkRakc-Mxhpm3I,part_104,2026-09-20 16:40:00
ZALA MEGHRAJSINH SHOP,Departmental Store,General store,General store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 70698 94709,N/A,5.0,1.0,"ZALA MEGHRAJSINH SHOP, Dadarda, Antrolivas Punjaji, Gujarat 383305",383350,23.4164981,73.0190313,ChIJJy3RnlvDXTkRSoFMU5jmCUk,https://www.google.com/maps/place/?q=place_id:ChIJJy3RnlvDXTkRSoFMU5jmCUk,part_104,2026-09-20 16:40:00
Char bhuja kirana,Departmental Store,Home goods store,Home goods store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",N/A,N/A,5.0,1.0,"9F68+F98, Malpur, Gujarat 383345",383350,23.3611547,73.46594189999999,ChIJByAlV4BXZzkRzPAcPiQ0maA,https://www.google.com/maps/place/?q=place_id:ChIJByAlV4BXZzkRzPAcPiQ0maA,part_104,2026-09-20 16:40:00
MAHAVIR VASAN BHANDARC,Departmental Store,General store,General store,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 97258 78048,N/A,4.0,3.0,"Shop No 03, Main Bajar, near Jin Faliyu, opp. Pipals Benk, Sathamba, Gujarat 383340",383350,23.1692943,73.3291337,ChIJzQHEmwAHXjkRLzqSrX5ZBIM,https://www.google.com/maps/place/?q=place_id:ChIJzQHEmwAHXjkRLzqSrX5ZBIM,part_104,2026-09-20 16:40:00
GUJARAT NUTS,Departmental Store,Supermarket,Supermarket,383350,Gujarat Circle,Ahmedabad HQ Region,Sabarkantha Division,"Meghraj SO, Banthiwada BO, Behdaj BO",+91 80002 19594,N/A,4.7,3.0,"2, Panpur Patiya, Mahavir Nagar, Zahirabad, Himatnagar, Savgadh, Gujarat 383001","Mahavir Nagar, Zahirabad",23.6161833,72.9491816,ChIJr_ZxaIS5XTkR55_PQcaL5FI,https://www.google.com/maps/place/?q=place_id:ChIJr_ZxaIS5XTkR55_PQcaL5FI,part_104,2026-09-20 16:40:00
