business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Friends Steel Group -TMT Bar / Steel Manufacturers in Ahmedabad,TMT Steel and Iron Wholesaler,Manufacturer,"Manufacturer, Supplier, Industrial equipment supplier, Steel distributor, Steel industry",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 99796 32000,http://www.friendssteel.com/,4.8,,"Mangal Murti Complex, 120, Ashram Rd, opp. City Gold Cinema, Vishalpur, Muslim Society, Navrangpura, Ahmedabad, Gujarat 380009","Vishalpur, Muslim Society, Navrangpura",23.0323097,72.5708451,ChIJ_9cleXeEXjkR8fjD0Nzuzdw,https://www.google.com/maps/place/?q=place_id:ChIJ_9cleXeEXjkR8fjD0Nzuzdw,part_108,2026-09-20 16:40:24
Vinayak TMT Bars PVT. LTD.,TMT Steel and Iron Wholesaler,Manufacturer,Manufacturer,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 2716 296 251,http://vinayaktmtbars.com/,4.2,,"S. No. 25/1, 25/2 & 24/P, Barot na Mosampur, Bayad Road, Post.- Sampa, Dist.- Gandhinagar, Dahegam, Gujarat 382305",388450,23.1792506,72.8630541,ChIJVYRDeXp4XjkRCOLRmO7IQIM,https://www.google.com/maps/place/?q=place_id:ChIJVYRDeXp4XjkRCOLRmO7IQIM,part_108,2026-09-20 16:40:24
"Nilkanth TMT, Nilkanth Concast Pvt Ltd",TMT Steel and Iron Wholesaler,Steel industry,Steel industry,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 89800 34072,http://nilkanthsteels.com/,5.0,,"Mondeal Heights, A-401, Ramdev Nagar, Ahmedabad, Gujarat 380015",Ramdev Nagar,23.023079,72.5067845,ChIJYxHYo_qEXjkREmuc7L7LLOI,https://www.google.com/maps/place/?q=place_id:ChIJYxHYo_qEXjkREmuc7L7LLOI,part_108,2026-09-20 16:40:24
SUPERIOR STEEL TRADING COMPANY,TMT Steel and Iron Wholesaler,Steel distributor,"Steel distributor, Construction Material Wholesaler, Service establishment, Iron & Steel Store, Steel construction company",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 96675 06599,http://superiorsteeltradingcompany.com/,5.0,,"SUPERIOR STEEL TRADING COMPANY, 388450, India",388450,21.0680074,82.7525294,ChIJ-fcPERT7DDkRF4w-2fuwL7E,https://www.google.com/maps/place/?q=place_id:ChIJ-fcPERT7DDkRF4w-2fuwL7E,part_108,2026-09-20 16:40:25
𝐌𝐄𝐇𝐒𝐀𝐍𝐀 𝐒𝐓𝐄𝐄𝐋 𝐂𝐄𝐍𝐓𝐑𝐄 - Best TMT Steel Reinforced bars and Cement Shop/MS Structural Steel Shop/MS Angel/MS Channel/Steel Bars,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Cement Supplier, Pipe supplier",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 75677 80785,N/A,4.4,,"GFH8+GHJ, Laxmi Industrial Estate Near Rubamin pvt ltd , Rinki Chokdi, Old, opp. Halol GIDC, Kalol Road, Halol, Gujarat 389350",Halol G I D C,22.528846299999998,73.4663813,ChIJ10ZMMwaBYDkRgboCJvQH1mE,https://www.google.com/maps/place/?q=place_id:ChIJ10ZMMwaBYDkRgboCJvQH1mE,part_108,2026-09-20 16:40:25
Steel dealers,TMT Steel and Iron Wholesaler,Steel distributor,Steel distributor,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 98240 80910,https://www.indiamart.com/steeldealers/,4.9,,"12 , Mansi Appartment, near vidhyanagar high school, Usmanpura, Ahmedabad, Gujarat 380009","Sattar Taluka Society, Usmanpura",23.0465905,72.5664712,ChIJRUUhqxuFXjkRw9_vXzpgbZM,https://www.google.com/maps/place/?q=place_id:ChIJRUUhqxuFXjkRw9_vXzpgbZM,part_108,2026-09-20 16:40:25
Bhagwati Metals,TMT Steel and Iron Wholesaler,Metal supplier,Metal supplier,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 94260 05580,http://bhagwatimetals.com/,5.0,,"C 1, B 424, A18 Rd, VU Nagar, New Vallabh Vidyanagar, GIDC, Anand, Gujarat 388120","VU Nagar, New Vallabh Vidyanagar, GIDC",22.5321297,72.9198028,ChIJAQBwoelNXjkRfrldlkNHYM8,https://www.google.com/maps/place/?q=place_id:ChIJAQBwoelNXjkRfrldlkNHYM8,part_108,2026-09-20 16:40:25
STEEL HOUSE GROUP,TMT Steel and Iron Wholesaler,Steel industry,Steel industry,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 98250 64764,https://steelhousegroup.com/,4.5,,"3rd, Mridul Tower, Ashram Rd, near Times of India, Shreyas Colony, Navrangpura, Ahmedabad, Gujarat 380009","Shreyas Colony, Navrangpura",23.0349123,72.5701287,ChIJJ0QKh2GEXjkRvcxJLFkiF3U,https://www.google.com/maps/place/?q=place_id:ChIJJ0QKh2GEXjkRvcxJLFkiF3U,part_108,2026-09-20 16:40:25
Shree Bhagwati Steel,TMT Steel and Iron Wholesaler,Corporate office,Corporate office,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 90990 53053,N/A,4.7,,"Nadiad - Dakor Rd, Pansora, Gujarat 388220",388450,22.694394799999998,73.0377463,ChIJy4Z5PtlHXjkRQM3vKasEPK0,https://www.google.com/maps/place/?q=place_id:ChIJy4Z5PtlHXjkRQM3vKasEPK0,part_108,2026-09-20 16:40:25
RDTMT STEELS INDIA PVT LTD - CORPORATE OFFICE,TMT Steel and Iron Wholesaler,Steel industry,"Steel industry, Supplier, Manufacturer, Metal supplier",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 63649 63636,https://www.rdtmt.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,4.5,,"M.B WEIGHBRIDGE, 54/A, Taluk, opposite Arvind Goodwill garments, Bommasandra Industrial Area, Anekal, Bengaluru, Karnataka 560099",Bommasandra Industrial Area,12.8160838,77.6861734,ChIJRUWybdltrjsRB0z0yuDQPFQ,https://www.google.com/maps/place/?q=place_id:ChIJRUWybdltrjsRB0z0yuDQPFQ,part_108,2026-09-20 16:40:25
Sher Mohammed & Co,TMT Steel and Iron Wholesaler,Steel distributor,"Steel distributor, Iron & Steel Store, Metal supplier",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 97696 99115,https://www.shermohammedandco.in/,5.0,,"Gulab Shah Estate, Bus Depot, Gala No. 488, 2nd Lane, Saliya Galli, Lal Bahadur Shastri Marg, Kurla West, Kurla, Mumbai, Maharashtra 400070","Rupa Nagar, Kurla West, Kurla",19.073943,72.87530269999999,ChIJW9q3Uo3I5zsRw1uGnKf6NI4,https://www.google.com/maps/place/?q=place_id:ChIJW9q3Uo3I5zsRw1uGnKf6NI4,part_108,2026-09-20 16:40:25
LAXMI ENTERPRISE,TMT Steel and Iron Wholesaler,Steel distributor,Steel distributor,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 92274 42665,https://laxmienterprisevadodarasteelhub.com/,4.8,,"survey no. 191, Sardar industrial estate, R.S no. 216, Ajwa Rd, Sheshnarayan Society, Sardar Estate, Sayaji Park Society, Vadodara, Gujarat 390019","Sheshnarayan Society, Sardar Estate, Sayaji Park Society",22.315166899999998,73.23287479999999,ChIJF4pwrXnFXzkR2_6PCmFn638,https://www.google.com/maps/place/?q=place_id:ChIJF4pwrXnFXzkR2_6PCmFn638,part_108,2026-09-20 16:40:25
