business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Gajanand Caterers Anand,Caterer and Event Planner,Caterer,Caterer,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 80001 88831,http://www.gajanandcaterers.com/,4.9,,"Bhalej Rd, near Yogi Petrol Pump, Ganesh Colony, Anand, Gujarat 388001",Ganesh Colony,22.5585697,72.9580155,ChIJa1CqTZtOXjkR68HAcNO6a50,https://www.google.com/maps/place/?q=place_id:ChIJa1CqTZtOXjkR68HAcNO6a50,part_108,2026-09-20 16:40:33
Santram Caterers,Caterer and Event Planner,Caterer,"Caterer, Catering food and drink supplier, Event planner, Personal chef service",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 98244 04099,N/A,4.7,,"S-2, Jalaram Building,Amul Dairy Road, Old, Sivil Court Road, Anand, Gujarat 388001","Nandanvan Society, Popati Nagar",22.5509794,72.9684097,ChIJp1-Y7yFMXjkRnC7nteWOoc8,https://www.google.com/maps/place/?q=place_id:ChIJp1-Y7yFMXjkRnC7nteWOoc8,part_108,2026-09-20 16:40:33
Raval Caterers,Caterer and Event Planner,Caterer,Caterer,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 98983 64171,N/A,5.0,,"Kalash Party plot, Anand - Sojitra Rd, Karamsad, Anand, Gujarat 388325",Karamsad,22.5405709,72.9090327,ChIJh-ZPuxhNXjkRExpMSyILWvo,https://www.google.com/maps/place/?q=place_id:ChIJh-ZPuxhNXjkRExpMSyILWvo,part_108,2026-09-20 16:40:33
Jay Ambe Caterers,Caterer and Event Planner,Caterer,Caterer,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 98795 30553,http://www.jayambecaterers.com/,4.5,,"Opposite Ambaji Temple, Nanu Adadh, near New BAPS Temple, Anand, Gujarat 388001",Mathiya Chora,22.553047199999998,72.9539799,ChIJ686XE-FPXjkRw0mbRLY1SMU,https://www.google.com/maps/place/?q=place_id:ChIJ686XE-FPXjkRw0mbRLY1SMU,part_108,2026-09-20 16:40:33
A.P. Caterers & Decorators,Caterer and Event Planner,Caterer,"Caterer, Service establishment, Wedding planner",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 97180 56103,N/A,4.9,,"A.P. Caterers & Decorators, 388450, India",388450,21.0680074,82.7525294,ChIJ26AIXl3vDDkR0haaqEnhvwY,https://www.google.com/maps/place/?q=place_id:ChIJ26AIXl3vDDkR0haaqEnhvwY,part_108,2026-09-20 16:40:33
R R Caterers,Caterer and Event Planner,Caterer,Caterer,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 84016 34850,http://rrcaterer.com/,4.9,,"B-2, V.V Nagar Rd, near Mazda Backery, Vivekanand Wadi, Anand, Gujarat 388120",Vivekanand Wadi,22.5536003,72.9481328,ChIJ6fFuDcdPXjkRP7BE2Gk7UgQ,https://www.google.com/maps/place/?q=place_id:ChIJ6fFuDcdPXjkRP7BE2Gk7UgQ,part_108,2026-09-20 16:40:33
Shree Ghanshyam Caterers,Caterer and Event Planner,Caterer,Caterer,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 80001 88833,http://www.shreeghanshyamcaterers.com/,4.8,,"2nd floor, Red Square, 214, opp. Deep Circle, Anand, Gujarat 388001",Gamdi Vad,22.5577289,72.957846,ChIJhyODOIJOXjkR6F6_-gUmtTo,https://www.google.com/maps/place/?q=place_id:ChIJhyODOIJOXjkR6F6_-gUmtTo,part_108,2026-09-20 16:40:33
AMBICA CATERERS,Caterer and Event Planner,Catering food and drink supplier,Catering food and drink supplier,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 97148 75048,https://sites.google.com/view/ambicacaterersanand/home,5.0,,"Radha Complex, G-2, near ISCKON TEMPLE, Patel Society, Mota Bazaar, Vallabh Vidyanagar, Anand, Gujarat 388120","Patel Society, Mota Bazaar, Vallabh Vidyanagar",22.5488002,72.9231959,ChIJ4ZgkOK9PXjkRO8LX35osxNA,https://www.google.com/maps/place/?q=place_id:ChIJ4ZgkOK9PXjkRO8LX35osxNA,part_108,2026-09-20 16:40:33
Shree Somnath Caterers,Caterer and Event Planner,Caterer,Caterer,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 94265 09168,http://shreesomnathcaterers.com/,4.9,,"Sarsa-Dakor Road, Sarsa, Gujarat 388365",388450,22.5476441,73.0650378,ChIJHblhPRZKXjkRmPwayClg7vE,https://www.google.com/maps/place/?q=place_id:ChIJHblhPRZKXjkRmPwayClg7vE,part_108,2026-09-20 16:40:33
Shubham Party Plot,Caterer and Event Planner,Event venue,"Event venue, Recreation center",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",N/A,N/A,4.2,,"HX5R+3QM, GJ SH 83, Chikhodra, Gujarat 388320",388450,22.557705199999997,72.9919195,ChIJCRPHwqpOXjkRp9-QPCs6C2M,https://www.google.com/maps/place/?q=place_id:ChIJCRPHwqpOXjkRp9-QPCs6C2M,part_108,2026-09-20 16:40:33
