business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
O3 Car Spa,Car Wash and Auto Detailing,Auto restoration service,Auto restoration service,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 90330 88869,https://www.o3carspa.biz/,4.9,,"Zone No. D5, GWMG+X8G, Plot No.37, opp. Bank of Baroda, Vithal Udyognagar, GIDC, Anand, Gujarat 388120","Vithal Udyognagar, GIDC",22.5348778,72.9258603,ChIJRUxPHKVNXjkRBvjNg1XUlJI,https://www.google.com/maps/place/?q=place_id:ChIJRUxPHKVNXjkRBvjNg1XUlJI,part_108,2026-09-20 16:40:17
Om car Spa,Car Wash and Auto Detailing,Car wash,Car wash,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 99090 63011,N/A,4.9,,"Town Hall Rd, near Dhodi Kund, Sherpura, Nagarkuva, Petlad, Gujarat 388450","Sherpura, Nagarkuva",22.481344099999998,72.8058176,ChIJ83YO0tdTXjkRdeJEnvtoq-E,https://www.google.com/maps/place/?q=place_id:ChIJ83YO0tdTXjkRdeJEnvtoq-E,part_108,2026-09-20 16:40:17
Mr.Wash X,Car Wash and Auto Detailing,Car wash,"Car wash, Auto bodywork mechanic, Auto painting, Auto repair shop, Auto restoration service, Car battery store, Car stereo store, Mechanic",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 98984 00295,http://washx.in/,4.9,,"Anand - Sojitra Rd, near Kalash party plot, Karamsad, Anand, Gujarat 388325",Karamsad,22.5404931,72.90792929999999,ChIJrcBhT_NNXjkRjGoxjiUXcDM,https://www.google.com/maps/place/?q=place_id:ChIJrcBhT_NNXjkRjGoxjiUXcDM,part_108,2026-09-20 16:40:17
O3 Car Spa Unit 1,Car Wash and Auto Detailing,Car wash,Car wash,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 74053 31182,http://o3carspa.biz/,4.7,,"No 444/2, Phase, Opp. Swiss Glass Coat, Plot, 4, VU Nagar, Anand, Gujarat 388120","VU Nagar, New Vallabh Vidyanagar, GIDC",22.530365999999997,72.9226865,ChIJA5nsAsJNXjkRZQigGeKZ9dg,https://www.google.com/maps/place/?q=place_id:ChIJA5nsAsJNXjkRZQigGeKZ9dg,part_108,2026-09-20 16:40:17
Exppress Car Wash - MG Car Care,Car Wash and Auto Detailing,Car wash,"Car wash, Pressure washing service",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",N/A,http://www.exppresscarwash.com/,4.2,,"Vyayamshala Road, Opp. Loteshwar Talav, B/h Loteshwar Mahadev Temple, Anand, Gujarat 388001",Neelkanth Nagar,22.5477502,72.9585678,ChIJhTgGpChMXjkRH2-dKI_uzJM,https://www.google.com/maps/place/?q=place_id:ChIJhTgGpChMXjkRH2-dKI_uzJM,part_108,2026-09-20 16:40:17
Auto Car Studio,Car Wash and Auto Detailing,Car wash,"Car wash, Auto Accessories Store",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 81406 10003,N/A,4.9,,"Anand - Vidyanagar Rd, behind Reliance Smart Bazar, near Aaryan’s Showroom, Shrinathji Park Society, Vivekanand Wadi, Anand, Gujarat 388120","Shrinathji Park Society, Vivekanand Wadi",22.5519103,72.9449379,ChIJB1Z8LShPXjkRVyGKZWE_qLM,https://www.google.com/maps/place/?q=place_id:ChIJB1Z8LShPXjkRVyGKZWE_qLM,part_108,2026-09-20 16:40:17
Drop x paint protection,Car Wash and Auto Detailing,Car wash,"Car wash, Auto body shop, Auto bodywork mechanic, Auto Dent Removal Service Station, Auto painting, Car detailing service, Auto restoration service, Vehicle wrapping service",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 93166 24160,https://www.dropx.co.in/,5.0,,"Plot no 444 d, A18 Rd, opp. Berger paints, VU Nagar, New Vallabh Vidyanagar, GIDC, Anand, Gujarat 388120","VU Nagar, New Vallabh Vidyanagar, GIDC",22.5302848,72.9222137,ChIJ015bZFBNXjkRqF53PJyTDjc,https://www.google.com/maps/place/?q=place_id:ChIJ015bZFBNXjkRqF53PJyTDjc,part_108,2026-09-20 16:40:17
SONU WASHING CENTRE,Car Wash and Auto Detailing,Car wash,Car wash,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 88499 95604,N/A,4.3,,"Shahpur Bus Stand Petlad, Khambhat Road, Shahpur, Gujarat 388160",388450,22.4438831,72.78811689999999,ChIJdSeIkhZVXjkRQoGp0K2ekW8,https://www.google.com/maps/place/?q=place_id:ChIJdSeIkhZVXjkRQoGp0K2ekW8,part_108,2026-09-20 16:40:17
TOYOTA AUTO MOTOR SERVICE CENTER,Car Wash and Auto Detailing,Car wash,Car wash,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 97120 04296,N/A,4.6,,"TOYOTA AUTO MOTOR VRUNDAVAN SOCIETY, 1/1254/25, Bhawanipura, Petlad, Gujarat 388450",Bhawanipura,22.4880343,72.8107256,ChIJEZgeyXhTXjkRNKB2wAxqk8w,https://www.google.com/maps/place/?q=place_id:ChIJEZgeyXhTXjkRNKB2wAxqk8w,part_108,2026-09-20 16:40:17
INCREDIBLE CAR DETAILING,Car Wash and Auto Detailing,Car wash,Car wash,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 75670 06633,http://www.incrediblecardetailing.in/,5.0,,"1,2, SWASTHI APARTMENT, near Divya Jyot School Road, SHILAJ, Bopal, Ahmedabad, Gujarat 380058","SHILAJ, Bopal",23.046111099999997,72.4769275,ChIJv6TPstubXjkRYU49rWhLLRk,https://www.google.com/maps/place/?q=place_id:ChIJv6TPstubXjkRYU49rWhLLRk,part_108,2026-09-20 16:40:17
