business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Team Financial Consultancy,Chit Fund Company,Financial planner,"Financial planner, Finance broker",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 97149 57775,http://invest.teammf.in/,5.0,2.0,"13, Madhuvan Complex, Ahmedabad-Palanpur Highway Road, near ICICI Bank, Mehsana, Gujarat 384002","Sukhapura, Manglaytan Society",23.601867,72.381124,ChIJddoX_tJDXDkRHe2v9Cy6clM,https://www.google.com/maps/place/?q=place_id:ChIJddoX_tJDXDkRHe2v9Cy6clM,part_105,2026-09-20 16:40:44
SHIVAY MUTUAL FUND STORE,Chit Fund Company,Financial consultant,Financial consultant,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 97248 47184,N/A,5.0,20.0,"2nd floor, Utsav prime complex, 202, above bata showroom, Mahavirnagar, Himatnagar, Gujarat 383001",Mahavirnagar,23.6000437,72.9716543,ChIJG7xFVVu5XTkR1nS4dajakZI,https://www.google.com/maps/place/?q=place_id:ChIJG7xFVVu5XTkR1nS4dajakZI,part_105,2026-09-20 16:40:44
Mahija chit Fund P Ltd,Chit Fund Company,Financial consultant,Financial consultant,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 98663 33003,N/A,5.0,2.0,"3rd Floor, opp. Reliance Mart, FCI Colony, Nizamabad, Telangana 503003",FCI Colony,18.664016699999998,78.1089497,ChIJzd1FqGDbzTsRmKI9LZMCAdo,https://www.google.com/maps/place/?q=place_id:ChIJzd1FqGDbzTsRmKI9LZMCAdo,part_105,2026-09-20 16:40:44
Kotak Mutual Fund,Chit Fund Company,Investment service,"Investment service, Investment company, Financial institution",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 1800 309 1490,https://www.kotakmf.com/,5.0,1.0,"Shop NO. F/F 57, 1ST Floor, Someshwar Shopping Mall, Modhera Cross Road, near IOC Petrol Pump, Suryamandir Society, Prabhunagar, Mahesana GIDC, Mehsana, Gujarat 384002","Suryamandir Society, Prabhunagar, Mahesana GIDC",23.593979299999997,72.3690524,ChIJuexAFk1DXDkR1uWezG01Tsg,https://www.google.com/maps/place/?q=place_id:ChIJuexAFk1DXDkR1uWezG01Tsg,part_105,2026-09-20 16:40:44
Parth Share Broker,Chit Fund Company,Stock broker,"Stock broker, Finance broker, Insurance broker, Investment service, Loan agency, Online Share Trading Center",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 97124 25444,N/A,4.8,110.0,"F/50 FORTUNE FLORON C LINK RADHANPUR, ROAD, Mehsana, Gujarat 384005",Bansari Township,23.6174549,72.3509072,ChIJdXYyQs9DXDkRcOmzrPsop-M,https://www.google.com/maps/place/?q=place_id:ChIJdXYyQs9DXDkRcOmzrPsop-M,part_105,2026-09-20 16:40:44
Mahesan chit fund Private Limited,Chit Fund Company,Chit Fund Company,Chit Fund Company,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 91843 88438,http://mahesanchitfund.in/,4.1,48.0,"S 4th St, Kadukkakadu, Pudukkottai, Tamil Nadu 622001",Kadukkakadu,10.3810481,78.81476599999999,ChIJvZE6AFd5ADsRcJUkqrNHoNQ,https://www.google.com/maps/place/?q=place_id:ChIJvZE6AFd5ADsRcJUkqrNHoNQ,part_105,2026-09-20 16:40:44
SBI Funds Management Limited,Chit Fund Company,Investment service,Investment service,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 2762 233 872,https://www.sbimf.com/,4.4,7.0,"Shop No-FF-56, Someshwar Shopping Mall, Modhera Rd, Suryamandir Society, Prabhunagar, Mahesana GIDC, Mehsana, Gujarat 384002","Suryamandir Society, Prabhunagar, Mahesana GIDC",23.593979299999997,72.3690524,ChIJj-RoIMJDXDkR8VTByL3RGvE,https://www.google.com/maps/place/?q=place_id:ChIJj-RoIMJDXDkR8VTByL3RGvE,part_105,2026-09-20 16:40:44
Stock Holding corporation of India Ltd.,Chit Fund Company,Finance broker,"Finance broker, Corporate office",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 2762 232 622,http://online.stockholding.com/,5.0,1.0,"28,29 Frist Floor, Sheth Punjiram Chember, 2nd floor Om coShop, No 27, Aerodrome Cross Road, Radhanpur Road, Mehsana, Gujarat 384002","Ashok Nagar Society, Radhanpur Road",23.6066885,72.3781712,ChIJsZPvY2NDXDkR1Bm2cE55n6w,https://www.google.com/maps/place/?q=place_id:ChIJsZPvY2NDXDkR1Bm2cE55n6w,part_105,2026-09-20 16:40:44
MGM Pushpam chits private limited,Chit Fund Company,Chit Fund Company,Chit Fund Company,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 76674 24977,http://www.mgmpushpam.com/,4.9,1160.0,"244, E Masi St, Madurai Main, Madurai, Tamil Nadu 625001",Madurai Main,9.9198948,78.12316729999999,ChIJvW59PobFADsRGHCdGj5gGnE,https://www.google.com/maps/place/?q=place_id:ChIJvW59PobFADsRGHCdGj5gGnE,part_105,2026-09-20 16:40:44
Charvee Financial Services,Chit Fund Company,Investment service,Investment service,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 75675 85105,http://charveefinancial.com/,5.0,78.0,"2nd Floor, Satyam 2, AMBA BUSINESS PARK, E-232, Trimandir, Adalaj, Amba Township, Gujarat 382421",Trimandir,23.1874577,72.57353379999999,ChIJAQBwJbIpXDkRWKuDqOSNw2Y,https://www.google.com/maps/place/?q=place_id:ChIJAQBwJbIpXDkRWKuDqOSNw2Y,part_105,2026-09-20 16:40:44
