business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
AMWAY Distributor,Businesses,Business networking company,"Business networking company, Service establishment",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 80 3941 6600,N/A,5.0,1.0,"AMWAY Distributor, 384340, India",384340,24.0154721,72.68202769999999,ChIJgetyV639XDkRb1KlKGPNmSc,https://www.google.com/maps/place/?q=place_id:ChIJgetyV639XDkRb1KlKGPNmSc,part_105,2026-09-20 16:40:57
D M PARMAR,Businesses,Housing society,Housing society,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,5.0,1.0,"2M9J+HW3, Satlasana, Sudasana, Gujarat 384340",384340,24.018887499999998,72.6822969,ChIJ47lMI0T9XDkRXac7-04tr0U,https://www.google.com/maps/place/?q=place_id:ChIJ47lMI0T9XDkRXac7-04tr0U,part_105,2026-09-20 16:40:57
Ajaysinh,Businesses,Housing complex,Housing complex,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,3.0,2.0,"2MGP+GPW, Nava Sudasana, Gujarat 384340",384340,24.026352199999998,72.6868159,ChIJqeIpNJf9XDkROPaOHdHH5ew,https://www.google.com/maps/place/?q=place_id:ChIJqeIpNJf9XDkROPaOHdHH5ew,part_105,2026-09-20 16:40:57
JAYPAL SINGH ' S HOUSE,Businesses,Housing complex,Housing complex,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,5.0,16.0,"2MFP+XF8, Nava Sudasana, Gujarat 384340",384340,24.0249185,72.6861881,ChIJGzPkIwD9XDkRawO3MsjnZpY,https://www.google.com/maps/place/?q=place_id:ChIJGzPkIwD9XDkRawO3MsjnZpY,part_105,2026-09-20 16:40:57
જય દાદા🙏,Businesses,Housing complex,Housing complex,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 94276 84685,N/A,5.0,4.0,"2PQ7+XF, Bhalu Nani, Gujarat 384340",384340,24.0399378,72.713737,ChIJi-vmOQADXTkRQ-orBBAkAzM,https://www.google.com/maps/place/?q=place_id:ChIJi-vmOQADXTkRQ-orBBAkAzM,part_105,2026-09-20 16:40:57
Desai and Nayee Vas,Businesses,Housing society,Housing society,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,5.0,2.0,"2M74+685, Sardarpur, Gujarat 384340",384340,24.0130236,72.6558501,ChIJRzQWL4n9XDkRpr1QHx59p0E,https://www.google.com/maps/place/?q=place_id:ChIJRzQWL4n9XDkRpr1QHx59p0E,part_105,2026-09-20 16:40:57
Metaba Bhavan,Businesses,Housing society,Housing society,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,5.0,1.0,"2MGP+PCJ, Nava Sudasana, Gujarat 384340",384340,24.026842799999997,72.6860142,ChIJeVw7GgD9XDkRMVCun2HU2nw,https://www.google.com/maps/place/?q=place_id:ChIJeVw7GgD9XDkRMVCun2HU2nw,part_105,2026-09-20 16:40:57
R R FARM,Businesses,Housing society,Housing society,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,5.0,1.0,"2JHX+5XC, Unnamed Road, Sudasana, Gujarat 384340",384340,24.0279408,72.64989469999999,ChIJTdKy-EX9XDkR4KpYnDjiwgA,https://www.google.com/maps/place/?q=place_id:ChIJTdKy-EX9XDkR4KpYnDjiwgA,part_105,2026-09-20 16:40:57
JAYDIPSINH BARAD HOUSE',Businesses,Housing complex,Housing complex,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,5.0,4.0,"2MFP+XFG, Nava Sudasana, Gujarat 384340",384340,24.024427,72.6857218,ChIJx3nhfAD9XDkR1wGd6Hj77-8,https://www.google.com/maps/place/?q=place_id:ChIJx3nhfAD9XDkR1wGd6Hj77-8,part_105,2026-09-20 16:40:57
sudasana,Businesses,Housing complex,Housing complex,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,5.0,1.0,"2M8H+4FM, Sudasana, Gujarat 384340",384340,24.0153285,72.6786687,ChIJ0VL7LgD9XDkR2HnlbBPq4Xk,https://www.google.com/maps/place/?q=place_id:ChIJ0VL7LgD9XDkR2HnlbBPq4Xk,part_105,2026-09-20 16:40:57
JAYPALSINH'S HOUSE NO.2,Businesses,Housing complex,Housing complex,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,5.0,7.0,"2MFP+JPF, Nava Sudasana, Gujarat 384340",384340,24.023495099999998,72.68668579999999,ChIJYwDyEQD9XDkRwFokMj4QNhU,https://www.google.com/maps/place/?q=place_id:ChIJYwDyEQD9XDkRwFokMj4QNhU,part_105,2026-09-20 16:40:57
Ganpatba bhuvan,Businesses,Housing society,Housing society,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,,,"2MGQ+M92, Nava Sudasana, Gujarat 384340",384340,24.026626,72.6883977,ChIJS1NaNYL9XDkR1SWAAfBBFbs,https://www.google.com/maps/place/?q=place_id:ChIJS1NaNYL9XDkR1SWAAfBBFbs,part_105,2026-09-20 16:40:57
GIRIRAJSINH PARMAR HOUSE,Businesses,Housing complex,Housing complex,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,5.0,9.0,"2MFM+MX, Nava Sudasana, Gujarat 384340",384340,24.0233055,72.6852249,ChIJf-e4LAD9XDkRmcddj62lfsI,https://www.google.com/maps/place/?q=place_id:ChIJf-e4LAD9XDkRmcddj62lfsI,part_105,2026-09-20 16:40:57
