business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Union Crane Service,Crane and Towing Service,Towing service,"Towing service, Crane rental agency, Hydraulic equipment supplier, Hydraulic repair service, Towing equipment provider, Crane service, Transportation service",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 98796 32900,https://union-crane-service.grexa.site/,5.0,109.0,"101, Umar Flat, Near Madina Masjid, Bhanwada, Sangam Cross Road, Fatepura – 390006 Fatepura, Gujarat 390006","Sangam Char Rasta, Sawad, Bapunagar",22.3193481,73.212201,ChIJzZNiQJbPXzkR0KDqXenieT4,https://www.google.com/maps/place/?q=place_id:ChIJzZNiQJbPXzkR0KDqXenieT4,part_110,2026-09-20 16:40:14,2428
Madhav Crane Breakdown & Towing Service,Crane and Towing Service,Crane service,"Crane service, Crane rental agency",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 98242 27111,http://www.marhavcrane.com/,4.9,49.0,"NH 48, Ganesh, Sisodra Rd, near Shalu Motors, near Over Bridge, Navsari, Gujarat 396463",Tighra,20.9366713,72.97539739999999,ChIJcSPLCxL14DsR2DYreD8BSCk,https://www.google.com/maps/place/?q=place_id:ChIJcSPLCxL14DsR2DYreD8BSCk,part_110,2026-09-20 16:40:14,2429
shreeji crane service,Crane and Towing Service,Crane rental agency,Crane rental agency,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 94260 05728,http://www.shreejicrane.in/,4.6,10.0,"FF-77 sitaram super market, opp. Prakruti Resort, Chhani, Vadodara, Gujarat 390024",Chhani,22.3530843,73.1717425,ChIJZ1Z52jrJXzkRUntW1f9uDJs,https://www.google.com/maps/place/?q=place_id:ChIJZ1Z52jrJXzkRUntW1f9uDJs,part_110,2026-09-20 16:40:14,2430
Crane Car Towing Service,Crane and Towing Service,Towing service,"Towing service, Service establishment",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 98612 53488,N/A,3.0,9.0,"Crane Car Towing Service, 391152, India",391152,28.6456828,77.1970434,ChIJnVs4uN_lDDkRPt05vFXyO7s,https://www.google.com/maps/place/?q=place_id:ChIJnVs4uN_lDDkRPt05vFXyO7s,part_110,2026-09-20 16:40:14,2431
One Stop Carz,Crane and Towing Service,Towing service,"Towing service, Auto bodywork mechanic, Auto broker, Auto insurance agency, Auto painting, Auto repair shop, Auto restoration service, Auto Accessories Store, Oil change service, Car repair and maintenance service",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 96247 02103,https://onestopcarz.com/,4.2,340.0,"75F6+V3H, Premvati Circle, opp. Welcare Hospital, Atladara, Vadodara, Gujarat 390010",Atladara,22.2747204,73.16034739999999,ChIJI1OvUjLEXzkRbB3fABJxr50,https://www.google.com/maps/place/?q=place_id:ChIJI1OvUjLEXzkRbB3fABJxr50,part_110,2026-09-20 16:40:14,2432
Chauncey Towing Services,Crane and Towing Service,Towing service,"Towing service, Service establishment",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,https://www.towingserviceinstlouis.com/,4.8,499.0,"Chauncey Towing Services, 391152, India",391152,38.6821555,-90.422648,ChIJ20V__iNL34cRoSHpluN_OE4,https://www.google.com/maps/place/?q=place_id:ChIJ20V__iNL34cRoSHpluN_OE4,part_110,2026-09-20 16:40:14,2433
"Caster's Tow & Transport LLC - Roadside Assistance, Emergency Auto Towing & Recovery Service Independence MO",Crane and Towing Service,Towing service,"Towing service, Crane service, Service establishment, Transportation service",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,https://casterstowmo.com/,4.2,153.0,"Caster's Tow & Transport LLC - Roadside Assistance, Emergency Auto Towing & Recovery Service Independence MO, 391152, India",391152,38.3046624,-92.436836,ChIJcyUCeiEDwYcRa3XH_SBprQc,https://www.google.com/maps/place/?q=place_id:ChIJcyUCeiEDwYcRa3XH_SBprQc,part_110,2026-09-20 16:40:14,2434
Jasa Derek Manado Towing Mobil & Alat berat,Crane and Towing Service,Towing service,"Towing service, Service establishment",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,N/A,5.0,6.0,"Jasa Derek Manado Towing Mobil & Alat berat, 391152, India",391152,2.9289109,125.14621439999999,ChIJowfMo-6sxk0RuRDiUgCuNcw,https://www.google.com/maps/place/?q=place_id:ChIJowfMo-6sxk0RuRDiUgCuNcw,part_110,2026-09-20 16:40:14,2435
Expedite Transport And Towing LTD,Crane and Towing Service,Towing service,"Towing service, Service establishment",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,N/A,5.0,2.0,"Expedite Transport And Towing LTD, 391152, India",391152,-40.9248354,175.00390869999998,ChIJY8fvI_wnbG0R3e8kz2K0N5U,https://www.google.com/maps/place/?q=place_id:ChIJY8fvI_wnbG0R3e8kz2K0N5U,part_110,2026-09-20 16:40:14,2436
Rapid Recovery Trans,Crane and Towing Service,Towing service,"Towing service, Auto wrecker, Service establishment",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,https://rapidrecoverytransport.com/?utm_source=omg-gbp&utm_medium=webclick,5.0,54.0,"Rapid Recovery Trans, 391152, India",391152,34.150605399999996,-118.3731342,ChIJy7hbkYIeaqIRx_7BSOkkxw4,https://www.google.com/maps/place/?q=place_id:ChIJy7hbkYIeaqIRx_7BSOkkxw4,part_110,2026-09-20 16:40:14,2437
Highway Vehicle Recovery,Crane and Towing Service,Towing service,"Towing service, Service establishment",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,http://www.highwayvehiclerecovery.co.nz/contact.html,4.9,27.0,"Highway Vehicle Recovery, 391152, India",391152,-40.9248354,175.00390869999998,ChIJn14bYROhQG0Rig2e9ucKa8A,https://www.google.com/maps/place/?q=place_id:ChIJn14bYROhQG0Rig2e9ucKa8A,part_110,2026-09-20 16:40:14,2438
