business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
24x7 Bharat Pharmacy & Clinical Services,24 Hour Pharmacy,Pharmacy,Pharmacy,385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 97732 57610,N/A,5.0,14.0,"Bharat Pharmacy & Clinical Services, Ground Floor, Shop No. 03, Pratishtha Heights, SMVS Hospital Road, Randesan, 24 x 7, Kudasan, Gandhinagar, Gujarat 382426",Kudasan,23.183378599999998,72.6412593,ChIJdaobyxorXDkRzd5zAz8ATMA,https://www.google.com/maps/place/?q=place_id:ChIJdaobyxorXDkRzd5zAz8ATMA,part_106,2026-09-20 16:40:04
Polra Chemist,24 Hour Pharmacy,Pharmacy,Pharmacy,385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 2742 241 635,N/A,4.3,11.0,"near Amivir Infotech, Kanodar, Gujarat 385520",385540,24.0918024,72.3933615,ChIJJa3mrLHtXDkRG0VUpUkfM9I,https://www.google.com/maps/place/?q=place_id:ChIJJa3mrLHtXDkRG0VUpUkfM9I,part_106,2026-09-20 16:40:04
Medikart Pharmacy - Vejalpur ( rxplus365 ),24 Hour Pharmacy,Pharmacy,"Pharmacy, Hospital equipment and supplies, Local medical services, Medical supply store, Orthopedic supplies store",385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 97372 75558,https://www.rxplus365.com/,5.0,111.0,"Shop 54/04, opp. Unigold Hospital Main Gate, near Jivraj Police Chowki, Sarni kamdhar Society, Sanklit Nagar, Vejalpur, Ahmedabad, Gujarat 380051","Sarni kamdhar Society, Sanklit Nagar, Vejalpur",23.000463,72.5348932,ChIJj2ZynYCFXjkRMRDNoiQ3c7U,https://www.google.com/maps/place/?q=place_id:ChIJj2ZynYCFXjkRMRDNoiQ3c7U,part_106,2026-09-20 16:40:04
Jeevan pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",N/A,N/A,5.0,6.0,"Shop No. 11 Gathaman Road, Sasam - Palanpur Rd, near Shivam Electro, Gatha, Palanpur, Gujarat 385001",Gatha,24.160394399999998,72.40828359999999,ChIJITt8PwDrXDkRBxjfsae6frM,https://www.google.com/maps/place/?q=place_id:ChIJITt8PwDrXDkRBxjfsae6frM,part_106,2026-09-20 16:40:04
RAPTOR PHARMA,24 Hour Pharmacy,Pharmacy,Pharmacy,385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 99788 98978,N/A,5.0,3.0,"Arbuda shopping centre, near Bank Of Baroda, Colony, Dantiwada, Palanpur, Gujarat 385001",Colony,24.3226396,72.326632,ChIJzxDbEVC5XDkRKYNJNuE62fo,https://www.google.com/maps/place/?q=place_id:ChIJzxDbEVC5XDkRKYNJNuE62fo,part_106,2026-09-20 16:40:04
BANAS MEDICAL & PROVISION STORES,24 Hour Pharmacy,Pharmacy,Pharmacy,385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 97143 78651,N/A,4.9,11.0,"NH168A, near Maheshwari parlour, Dhanera, Gujarat 385310",385540,24.498498899999998,72.02785,ChIJoUdnqcSrXDkRM1Q8EdrLG_Y,https://www.google.com/maps/place/?q=place_id:ChIJoUdnqcSrXDkRM1Q8EdrLG_Y,part_106,2026-09-20 16:40:04
PARAM PHARMACY,24 Hour Pharmacy,Pharmacy,Pharmacy,385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 95107 82388,N/A,4.8,,"new busport, F16, Becharpura Rd, Madhuvan Society, Nilkamal Society, Palanpur, Gujarat 385001","Madhuvan Society, Nilkamal Society",24.172385799999997,72.4213747,ChIJrzbjsUfrXDkR4LCCkcT_LM0,https://www.google.com/maps/place/?q=place_id:ChIJrzbjsUfrXDkR4LCCkcT_LM0,part_106,2026-09-20 16:40:04
Janata Medical Agency,24 Hour Pharmacy,Veterinary pharmacy,Veterinary pharmacy,385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 98980 39339,N/A,5.0,,"Gujarat State Highway 72, Diyodar, Gujarat 385330",385540,24.114741799999997,71.7679055,ChIJH7cmH6dnWzkRH_Gzm68HhYc,https://www.google.com/maps/place/?q=place_id:ChIJH7cmH6dnWzkRH_Gzm68HhYc,part_106,2026-09-20 16:40:04
SARVODAY MEDICAL STORES (SIDDHPUR),24 Hour Pharmacy,Pharmacy,"Pharmacy, Health consultant, Drug store",385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 94292 46990,N/A,4.9,,"AFIN GATE, OPPOSITE GENERAL HOSPITAL, Islampura, Siddhpur, Gujarat 384151","Ramjipura, Islampura",23.9160966,72.37298969999999,ChIJM12tef70XDkRos5C7gDQUMs,https://www.google.com/maps/place/?q=place_id:ChIJM12tef70XDkRos5C7gDQUMs,part_106,2026-09-20 16:40:04
Life Line Medical Store,24 Hour Pharmacy,Pharmacy,Pharmacy,385540,Gujarat Circle,Ahmedabad HQ Region,Banaskantha Division,"Junadisa SO, Dhuva BO, Jhabadia BO",+91 94274 59464,N/A,4.4,,"Railway Station Rd, VTC Patan, Patan, Gujarat 384265",VTC Patan,23.8522157,72.1270134,ChIJq_pTtO-HXDkR264btRjYJhs,https://www.google.com/maps/place/?q=place_id:ChIJq_pTtO-HXDkR264btRjYJhs,part_106,2026-09-20 16:40:04
