business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Geeta Children Hospital - Best Children Hospital, Pediatric Hospital, Neonatology, Child Specialist",Pediatrician and Child Clinic,Hospital,"Hospital, Children Policlinic",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 94265 25593,N/A,4.9,,"Santrampur, Narsingpur, Gujarat 389260",389265,23.188062499999997,73.8961875,ChIJc5iBgnTJYDkR_lXYepc2XX0,https://www.google.com/maps/place/?q=place_id:ChIJc5iBgnTJYDkR_lXYepc2XX0,part_109,2026-09-20 16:40:05
Vivan children hospital,Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Children's hospital",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,4.7,,"Santrampur Bypass Rd, Santrampur, Narsingpur, Gujarat 389260",389265,23.1845468,73.8930069,ChIJF_CMhLzJYDkRBwnCrrPh1lw,https://www.google.com/maps/place/?q=place_id:ChIJF_CMhLzJYDkRBwnCrrPh1lw,part_109,2026-09-20 16:40:05
DARSHAN CHILDREN HOSPITAL,Pediatrician and Child Clinic,Pediatrician,Pediatrician,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 97370 44456,N/A,5.0,48.0,"2ND FLOOR, KANHA CENTRAL, Halol - Vadodara Rd, opposite TALUKA PANCHAYAT, Vitthalpura, Adarsh Society, Halol, Gujarat 389350","Vitthalpura, Adarsh Society",22.5017921,73.4714839,ChIJRep3ji5_YDkROvkSK8yNg1o,https://www.google.com/maps/place/?q=place_id:ChIJRep3ji5_YDkROvkSK8yNg1o,part_109,2026-09-20 16:40:06
✅✅✅CHILD CARE HOSPITAL - Best Child specialist / Children vaccination centre / Pediatric hospital in Bharuch,Pediatrician and Child Clinic,Doctor,"Doctor, Children's hospital, Hospital",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 90162 89495,N/A,4.6,201.0,"4th Floor, Rk Casta, Doctor House, Railway Station Rd, nr. Hotel Plaza, Bharuch, Gujarat 392001",Moficer Jin Compound,21.7040816,72.9929952,ChIJU1wmFjYn4DsRbu4rxesB1eI,https://www.google.com/maps/place/?q=place_id:ChIJU1wmFjYn4DsRbu4rxesB1eI,part_109,2026-09-20 16:40:06
"Asian Children & Neonatal Hospital - NICU, PICU, Pediatric Surgery, Best Children Hospital in Vastral, Ahmedabad, Gujarat",Pediatrician and Child Clinic,Children's hospital,"Children's hospital, Hospital, Neonatal physician, Pediatric surgeon, Pediatrician",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 81410 30555,https://www.asianchildrenhospital.com/,4.6,988.0,"Pillar No. 138, 4th Floor , Silverpoint, Nirant Cross Rd, opp. Metro Train Bridge, Vastral, Ahmedabad, Gujarat 382418",Vastral,23.0008251,72.65590809999999,ChIJ24hHLAaHXjkRH-6iaPXAYtY,https://www.google.com/maps/place/?q=place_id:ChIJ24hHLAaHXjkRH-6iaPXAYtY,part_109,2026-09-20 16:40:06
YASH HOSPITAL,Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Hospital",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 92280 02241,N/A,4.8,170.0,"719, main, Shopping Centre, opposite navratri ground, Sector 22, Gandhinagar, Gujarat 382021",Sector 22,23.2352438,72.65771339999999,ChIJD26-r5QrXDkRVK9tVbSMeQg,https://www.google.com/maps/place/?q=place_id:ChIJD26-r5QrXDkRVK9tVbSMeQg,part_109,2026-09-20 16:40:06
Star Kids Children Hospital & Child Dental Care,Pediatrician and Child Clinic,Doctor,Doctor,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 97731 25404,N/A,4.9,285.0,"210-211, 2nd floor, Sarthak fortune mall, Randesan Rd, Kudasan, Gandhinagar, Gujarat 382426",Kudasan,23.1742824,72.6406858,ChIJIYX6Y20qXDkRR-iJBDIT2IE,https://www.google.com/maps/place/?q=place_id:ChIJIYX6Y20qXDkRR-iJBDIT2IE,part_109,2026-09-20 16:40:06
MUNSHI CHILDREN HOSPITAL,Pediatrician and Child Clinic,Doctor,Doctor,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 74360 73421,N/A,4.5,56.0,"19, Sevashram Rd, behind Panch Batti, Telephone Exchange, GNFC Twp, Moti Doongri, Bharuch, Gujarat 392001","Telephone Exchange, GNFC Township, Moti Doongri",21.7009093,72.98626709999999,ChIJTRMk4kkn4DsRL6Vi0RLPaa0,https://www.google.com/maps/place/?q=place_id:ChIJTRMk4kkn4DsRL6Vi0RLPaa0,part_109,2026-09-20 16:40:06
Rudraksh Children Hospital,Pediatrician and Child Clinic,Child health care center,Child health care center,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 90336 38588,N/A,4.5,31.0,"118, Kolavada Rd, above Vadinath Jewellers, Anand Nagar Society, Sector 24, Gandhinagar, Gujarat 382016","Anand Nagar Society, Sector 24",23.245459099999998,72.64878449999999,ChIJv-OEj7IrXDkR2dImVakJPQE,https://www.google.com/maps/place/?q=place_id:ChIJv-OEj7IrXDkR2dImVakJPQE,part_109,2026-09-20 16:40:06
Aroha Children & Orthopedic Hospital Navrangpura,Pediatrician and Child Clinic,Children's hospital,"Children's hospital, Child health care center, Doctor, Orthopedic clinic, Orthopedic surgeon, Pediatric clinic, Pediatrician",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 88666 13312,http://arohahospitals.com/,4.9,135.0,"301, Serenity Square, Navrang Cir, Jay Jagdish Society, Girivar Society, Navrangpura, Ahmedabad, Gujarat 380009","Jay Jagdish Society, Girivar Society, Navrangpura",23.0470217,72.5566576,ChIJD1eqHuSFXjkR5rIVfsbxNUs,https://www.google.com/maps/place/?q=place_id:ChIJD1eqHuSFXjkR5rIVfsbxNUs,part_109,2026-09-20 16:40:06
Kalrav Children Hospital,Pediatrician and Child Clinic,Hospital,Hospital,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 99798 78554,N/A,4.1,111.0,"2nd floor, Patel Super Market, Railway Station Rd, Bharuch, Gujarat 392001","Patel Super Market, Moficer Jin Compound",21.7024155,72.9934896,ChIJy0Mj1Ysh4DsR8Pl--NhnJwc,https://www.google.com/maps/place/?q=place_id:ChIJy0Mj1Ysh4DsR8Pl--NhnJwc,part_109,2026-09-20 16:40:06
