business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vihan Clinic (Chhayan),Clinics,Medical clinic,Medical clinic,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,5.0,7.0,"5Q9F+7RF, Kalibel - Malvan Rd, Chhayan, Gujarat 389230",389265,23.168250699999998,73.7744416,ChIJe75EHgC3YDkRMTXCa6mu7RA,https://www.google.com/maps/place/?q=place_id:ChIJe75EHgC3YDkRMTXCa6mu7RA,part_109,2026-09-20 16:40:05
Shree kasthbhanjan clinic,Clinics,Medical clinic,Medical clinic,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 81559 69177,N/A,5.0,1.0,"amba, Godhar, Dhamotna Moyla, Gujarat 389230",389265,23.1498253,73.7717815,ChIJSc9sroe3YDkRrOZud_LcP8Y,https://www.google.com/maps/place/?q=place_id:ChIJSc9sroe3YDkRrOZud_LcP8Y,part_109,2026-09-20 16:40:05
Gurukrupa Clinic,Clinics,Medical clinic,Medical clinic,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,,,"6QMF+CXM, Hathpaliya, Sanghri, Gujarat 389265",389265,23.2335821,73.7749072,ChIJEYe1XgC1YDkRLTIajy3fiFw,https://www.google.com/maps/place/?q=place_id:ChIJEYe1XgC1YDkRLTIajy3fiFw,part_109,2026-09-20 16:40:05
Shreeji Clinic (શ્રીજી ક્લિનિક) Dr. જીનલ પટેલ,Clinics,Medical clinic,"Medical clinic, Hospital",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,5.0,1.0,"Raniji ni, Near Petrol Pump, Ranijini Padedi, Padedi, Gujarat 389230",389265,23.177433699999998,73.8386668,ChIJI7z0YYm3YDkRaeJakchX4xo,https://www.google.com/maps/place/?q=place_id:ChIJI7z0YYm3YDkRaeJakchX4xo,part_109,2026-09-20 16:40:05
DR.NAYAN PAGI KAILASH CLINIC,Clinics,Housing complex,Housing complex,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,5.0,1.0,"5QR7+879, Gamdi, Gujarat 389265",389265,23.190827799999997,73.76315079999999,ChIJqWsfGQC3YDkRoCC2Rdo-ia0,https://www.google.com/maps/place/?q=place_id:ChIJqWsfGQC3YDkRoCC2Rdo-ia0,part_109,2026-09-20 16:40:05
Bhakti Clinic,Clinics,Doctor,"Doctor, Hospital",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 99243 80120,N/A,5.0,1.0,"Main Road, Diwada, Gujarat 389250",389265,23.277565799999998,73.8382772,ChIJ9Zg7KQC1YDkR5my4lg2QQ7A,https://www.google.com/maps/place/?q=place_id:ChIJ9Zg7KQC1YDkR5my4lg2QQ7A,part_109,2026-09-20 16:40:05
Matrushree Clinic,Clinics,Doctor,Doctor,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 95372 76343,N/A,5.0,5.0,"Zalod - Ahmedabad Hwy, Ranijini Padedi, Gujarat 389230",389265,23.1774167,73.8386471,ChIJbUvL8Zu3YDkR-4TXmCSOYtc,https://www.google.com/maps/place/?q=place_id:ChIJbUvL8Zu3YDkR-4TXmCSOYtc,part_109,2026-09-20 16:40:05
Shivam Clinic,Clinics,Doctor,Doctor,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,5.0,2.0,"Shivam Clinic, near Bus Stand, Malvan, Gujarat 389265",389265,23.2234566,73.8330563,ChIJIzgwACe1YDkR4jkrZ_mFiQI,https://www.google.com/maps/place/?q=place_id:ChIJIzgwACe1YDkR4jkrZ_mFiQI,part_109,2026-09-20 16:40:05
Shree Paritosh Clinic,Clinics,Doctor,Doctor,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 95123 64253,N/A,5.0,7.0,"Lunawada Road, Malekpur, Padedi, Gujarat 389235",389265,23.229525,73.7334765,ChIJQYv7-xazYDkRHW0_gB9oPJU,https://www.google.com/maps/place/?q=place_id:ChIJQYv7-xazYDkRHW0_gB9oPJU,part_109,2026-09-20 16:40:05
Ayush Clinic,Clinics,Medical clinic,Medical clinic,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,,,"5QP2+J5J, Movasa, Dahela, Gujarat 389235",389265,23.186590499999998,73.7503801,ChIJv9bGLgC3YDkRi5MXIV6i58U,https://www.google.com/maps/place/?q=place_id:ChIJv9bGLgC3YDkRi5MXIV6i58U,part_109,2026-09-20 16:40:05
Swet clinic,Clinics,Medical clinic,Medical clinic,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,5.0,3.0,"5Q8F+MM5, Chhayan, Padhariya, Gujarat 389230",389265,23.1666475,73.7742341,ChIJvWguS-q2YDkRSuiZIK3VEE0,https://www.google.com/maps/place/?q=place_id:ChIJvWguS-q2YDkRSuiZIK3VEE0,part_109,2026-09-20 16:40:05
Navdip Clinic,Clinics,Hospital,Hospital,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,4.8,5.0,"5PVQ+GVG, Movasa, Gujarat 389235",389265,23.1938125,73.7396875,ChIJ19N9TvyzYDkRZDvbgoRNJf4,https://www.google.com/maps/place/?q=place_id:ChIJ19N9TvyzYDkRZDvbgoRNJf4,part_109,2026-09-20 16:40:05
Parth Clinic,Clinics,Medical clinic,"Medical clinic, Medical Center",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 99250 93121,N/A,5.0,6.0,"Himmat Nagar, Chokdi, Malekpur, Padedi, Gujarat 389235","Himmat Nagar, Chokdi",23.2305256,73.7347343,ChIJpQgfopyzYDkRhRA7btuJy-s,https://www.google.com/maps/place/?q=place_id:ChIJpQgfopyzYDkRhRA7btuJy-s,part_109,2026-09-20 16:40:05
Dr Joshi's Clinic,Clinics,Doctor,Doctor,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 94092 69202,N/A,5.0,1.0,"Kalibel - Malvan Rd, near Busstand, Kadana, Malvan, Gujarat 389265",389265,23.2234581,73.83306569999999,ChIJsXTa7m21YDkRoE4IShXsdL8,https://www.google.com/maps/place/?q=place_id:ChIJsXTa7m21YDkRoE4IShXsdL8,part_109,2026-09-20 16:40:05
Ayush Health Care,Clinics,Medical clinic,Medical clinic,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 90994 26901,N/A,4.4,5.0,"Divda, Limbhola, Gujarat 389250",389265,23.2765593,73.8402328,ChIJYTfcLLm1YDkR3w8p79o7Omk,https://www.google.com/maps/place/?q=place_id:ChIJYTfcLLm1YDkR3w8p79o7Omk,part_109,2026-09-20 16:40:05
Krishna Clinic,Clinics,Medical clinic,Medical clinic,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 97124 94030,N/A,,,"Krishna Clinic, College Road, Malvan, Mahesana, Gujarat 389265",389265,23.2215851,73.83261499999999,ChIJO243H7u1YDkRgU8YsWaGkzM,https://www.google.com/maps/place/?q=place_id:ChIJO243H7u1YDkRgU8YsWaGkzM,part_109,2026-09-20 16:40:05
KAILASH CLINIC ( DR. NAYAN PAGI),Clinics,Hospital,Hospital,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 79842 09875,N/A,,,"Tepravadekh , ginjva road, Pagina Muvada, Gujarat 389265",389265,23.198068799999998,73.7733669,ChIJo3mICA-1YDkREayisytZNdA,https://www.google.com/maps/place/?q=place_id:ChIJo3mICA-1YDkREayisytZNdA,part_109,2026-09-20 16:40:05
Drparesh patel Himani clinic,Clinics,Hospital,Hospital,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 99252 55022,N/A,5.0,13.0,"Lunawada Rd, Malekpur, Padedi, Gujarat 389235",389265,23.2281653,73.7307977,ChIJk0Ig5nCzYDkR4fqO8BNG_nA,https://www.google.com/maps/place/?q=place_id:ChIJk0Ig5nCzYDkR4fqO8BNG_nA,part_109,2026-09-20 16:40:05
Clinic,Clinics,Medical clinic,Medical clinic,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,,,"6RFJ+XRX, At malvan ta kadana dist, Kalibel - Malvan Rd, Gujarat 389265",389265,23.2249794,73.8321223,ChIJHQNRl421YDkRF78tG78gIdo,https://www.google.com/maps/place/?q=place_id:ChIJHQNRl421YDkRF78tG78gIdo,part_109,2026-09-20 16:40:05
ચેહર ક્લિનિક,Clinics,Medical clinic,Medical clinic,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,,,"Chitva, Gujarat 389250",389265,23.289212799999998,73.8720331,ChIJIyumyM7KYDkR7o1Qe-7a0EA,https://www.google.com/maps/place/?q=place_id:ChIJIyumyM7KYDkR7o1Qe-7a0EA,part_109,2026-09-20 16:40:05
