business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
VISHW EYE HOSPITAL,Eye Clinic and Eye Hospital,Hospital,Hospital,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 91734 96560,http://vishweyehospital.in/,4.9,349.0,"First Floor, JAY Gurudatt Market, Nr Hanuman Temple, Modhera Cross Road, Ahmedabad - Mehsana Patan Highway Road, Mehsana, Gujarat 384002",Shraddhadip Society,23.5945009,72.37924579999999,ChIJfX9pOdVDXDkRUmbUlmGPVdo,https://www.google.com/maps/place/?q=place_id:ChIJfX9pOdVDXDkRUmbUlmGPVdo,part_105,2026-09-20 16:40:12,1533
Dev Drashti Eye Hospital,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Hospital, Medical clinic",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 99258 66555,N/A,4.6,10.0,"Dev Drashti Eye Hospital 1st Floor, City Centre complex Near Radhanpur cross roads, Janpath, below Deep ICU, opposite Hotel, Mehsana, Gujarat 384002",Manglaytan Society,23.604616999999998,72.3816021,ChIJR0jnf9JDXDkRAAAAMCN61nA,https://www.google.com/maps/place/?q=place_id:ChIJR0jnf9JDXDkRAAAAMCN61nA,part_105,2026-09-20 16:40:12,1534
Prism eye clinic,Eye Clinic and Eye Hospital,Hospital,Hospital,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 99098 10200,N/A,5.0,43.0,"Near, Second floor, F block, hubtown B K road, Modhera Circle, opp. Geeta medical store, Mehsana, Gujarat 384002","Ashapuri Society, Sukheshwar Society",23.5941165,72.380071,ChIJr6kC73dDXDkRBZWibAmvly4,https://www.google.com/maps/place/?q=place_id:ChIJr6kC73dDXDkRBZWibAmvly4,part_105,2026-09-20 16:40:12,1535
"Ambika eye hospital , Dr Kaushal A Modi",Eye Clinic and Eye Hospital,Hospital,Hospital,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 99099 72950,N/A,5.0,34.0,"OM medical centre. Opp Patel jewellers. Radhanpur, four, cross road, Mehsana, Gujarat 384002",ONGC Nagar,23.6062175,72.3797692,ChIJAXEAUkNDXDkRvgDY0Fmrafs,https://www.google.com/maps/place/?q=place_id:ChIJAXEAUkNDXDkRvgDY0Fmrafs,part_105,2026-09-20 16:40:12,1536
Krishna Eye Hospital,Eye Clinic and Eye Hospital,Hospital,Hospital,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 2762 244 299,https://krishnaeyehospital.wixsite.com/krishnaeyehospital,4.8,12.0,"K.B. Complex, Dairy Rd, Manglaytan Society, Mehsana, Gujarat 384002",Manglaytan Society,23.6056702,72.3867753,ChIJrSbUKM5DXDkRj0ZrsU60ZBc,https://www.google.com/maps/place/?q=place_id:ChIJrSbUKM5DXDkRj0ZrsU60ZBc,part_105,2026-09-20 16:40:12,1537
Aakash Eye Hospital,Eye Clinic and Eye Hospital,Eye care center,Eye care center,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 94268 77080,http://www.aakasheyehospital.com/,4.1,483.0,"MN College Rd, near New court, near GEB, Bharat Nagar, Visnagar, Gujarat 384315",Bharat Nagar,23.6986641,72.5427595,ChIJU5pzduFPXDkRPXRPx8u5PHY,https://www.google.com/maps/place/?q=place_id:ChIJU5pzduFPXDkRPXRPx8u5PHY,part_105,2026-09-20 16:40:12,1538
Drashti Eye Hospital,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Hospital",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 98254 54600,N/A,5.0,276.0,"Station Rd, near Vepar Bhavan, opp. Railway station, Bharat Nagar, Visnagar, Gujarat 384315",Bharat Nagar,23.7018175,72.5422931,ChIJsyHCQ-BPXDkRUH3eMS9HXYs,https://www.google.com/maps/place/?q=place_id:ChIJsyHCQ-BPXDkRUH3eMS9HXYs,part_105,2026-09-20 16:40:12,1539
Jiviba eye Hospital,Eye Clinic and Eye Hospital,Hospital,Hospital,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",N/A,N/A,4.4,23.0,"Shefali Cinema Shopping Center, 3, Detroj Rd, Laxminarayan Society, Sardar Bagh, Kadi, Gujarat 384440","Laxminarayan Society, Sardar Bagh",23.298063,72.3277499,ChIJJYn5vMUZXDkReFIWhfrZAxU,https://www.google.com/maps/place/?q=place_id:ChIJJYn5vMUZXDkReFIWhfrZAxU,part_105,2026-09-20 16:40:12,1540
Jyoti Eye hospital,Eye Clinic and Eye Hospital,Hospital,Hospital,384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 2765 232 332,https://jyotieyehospital.org/,4.3,166.0,"near Nutan High School, Vijay Para, Visnagar, Gujarat 384315",Vijay Para,23.7040693,72.54626379999999,ChIJraqqquZPXDkRf3ff__YnKFc,https://www.google.com/maps/place/?q=place_id:ChIJraqqquZPXDkRf3ff__YnKFc,part_105,2026-09-20 16:40:12,1541
Netralayam Eye Hospital In Mehsana (Dr. Jay Trivedi ) | Retina Specialist |Eye Specialist in Mehsana,Eye Clinic and Eye Hospital,Hospital,"Hospital, Doctor, Ophthalmologist",384340,Gujarat Circle,Ahmedabad HQ Region,Mahesana Division,"Sudasana SO, Sardarpur BO, Umari BO",+91 82005 64235,https://netralayameyehospital.com/,5.0,31.0,"First Floor, Sunny Market Gopinala side, Dairy Rd, near SAMARPAN CHILDREN HOSPITAL, Manglaytan Society, Mehsana, Gujarat 384002",Manglaytan Society,23.6066024,72.384843,ChIJebvZbv1DXDkRgiJCXbii1wg,https://www.google.com/maps/place/?q=place_id:ChIJebvZbv1DXDkRgiJCXbii1wg,part_105,2026-09-20 16:40:14,1542
