business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Gauraj Prakrutik Mart,Organic Food Store,Organic shop,Organic shop,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 81280 30503,https://www.gaurajprakrutikmart.com/,4.9,,"G-2, Jaykant Complex, Anand - Vidyanagar Rd, opp. Apc, Vallabh Vidyanagar, Anand, Gujarat 388120",Vallabh Vidyanagar,22.5507274,72.9352444,ChIJcQkXO39OXjkRLF2NDygjRak,https://www.google.com/maps/place/?q=place_id:ChIJcQkXO39OXjkRLF2NDygjRak,part_108,2026-09-20 16:39:58,262
Anshcan Organics,Organic Food Store,Organic food store,Organic food store,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 99984 29513,https://www.anshcanorganic.com/,5.0,,"Shop 12, 13, 14, Narayan Empire, Anand - Vidyanagar Rd, nr. Croma Store, Vivekanand Wadi, Anand, Gujarat 388120",Vivekanand Wadi,22.5540082,72.9478319,ChIJT21h8B5PXjkRldAN6hD1Wy8,https://www.google.com/maps/place/?q=place_id:ChIJT21h8B5PXjkRldAN6hD1Wy8,part_108,2026-09-20 16:39:58,263
The Healthy Cart,Organic Food Store,Health food store,Health food store,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 88661 83060,N/A,4.9,,"HW3R+5R4, Purushottam Nagar, Anand, Gujarat 388001",Purushottam Nagar,22.5696516,72.9370375,ChIJLRY1X9hPXjkR_lrByMHmO1U,https://www.google.com/maps/place/?q=place_id:ChIJLRY1X9hPXjkR_lrByMHmO1U,part_108,2026-09-20 16:39:58,264
Enrich Organic Fertilizers,Organic Food Store,Organic farm,Organic farm,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 98795 75452,N/A,4.6,,"SR N 0 238, NH N0 8 NR BODAL GATE VASAD BORSAD, HIGHWAY, Bodal, Gujarat 388540",388450,22.4167237,72.9615298,ChIJoy1hWf2zXzkRSlqrN3qf8uI,https://www.google.com/maps/place/?q=place_id:ChIJoy1hWf2zXzkRSlqrN3qf8uI,part_108,2026-09-20 16:39:58,265
ZeroDegreeFoods - MotaBazaar,Organic Food Store,Supermarket,"Supermarket, Frozen food store",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 99043 43335,https://www.zerodegreefoods.com/,5.0,,"Uday Hostel, Mota Bazaar Rd, opp. Union Bank Of India, Vallabh Vidyanagar, Anand, Gujarat 388120",Vallabh Vidyanagar,22.547141,72.9261507,ChIJERPANzhNXjkRMSg_KzZAiJI,https://www.google.com/maps/place/?q=place_id:ChIJERPANzhNXjkRMSg_KzZAiJI,part_108,2026-09-20 16:39:58,266
Vaijanath Ayu Herbal Pharma,Organic Food Store,Herbal medicine store,Herbal medicine store,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 98254 24511,N/A,4.6,,"vaijanath Society, Sainath Rd, SM Nagar Society, Sarvodaya Society, Petlad, Gujarat 388450","SM Nagar Society, Sarvodaya Society",22.4743116,72.8048532,ChIJaZl9eGJTXjkRnKxXwpaqkoQ,https://www.google.com/maps/place/?q=place_id:ChIJaZl9eGJTXjkRnKxXwpaqkoQ,part_108,2026-09-20 16:39:58,267
Anand organic Farm,Organic Food Store,Organic food store,Organic food store,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",N/A,N/A,5.0,,"AT - Chiroda TA, DI, Mendarda, Gujarat 362260",388450,21.3410753,70.4838962,ChIJ_98usy6r4jsRA7kFYO18w7o,https://www.google.com/maps/place/?q=place_id:ChIJ_98usy6r4jsRA7kFYO18w7o,part_108,2026-09-20 16:39:58,268
Hari Om Grocery,Organic Food Store,Grocery store,"Grocery store, Indian grocery store",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 98242 52810,N/A,4.2,,"Nana Bazaar, Vallabh Vidyanagar, Anand, Gujarat 388120","Bakrol, Nana Bazaar, Vallabh Vidyanagar",22.5550297,72.9296473,ChIJlS6bSXFOXjkRTWULqopbjnc,https://www.google.com/maps/place/?q=place_id:ChIJlS6bSXFOXjkRTWULqopbjnc,part_108,2026-09-20 16:39:58,269
Db's Family Grocers,Organic Food Store,Grocery store,Grocery store,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 2692 367 320,N/A,4.2,,"Town Hall Rd, Vallabh Vidyanagar, Anand, Gujarat 388120",Vallabh Vidyanagar,22.551289699999998,72.9371381,ChIJ1Vd2X3hOXjkR_xYTL0t7Di4,https://www.google.com/maps/place/?q=place_id:ChIJ1Vd2X3hOXjkR_xYTL0t7Di4,part_108,2026-09-20 16:39:58,270
Dhara Super Store,Organic Food Store,Grocery store,Grocery store,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",N/A,N/A,4.1,,"Railway Station Rd, Gamdi Vad, Sardar Ganj, Anand, Gujarat 388001","Gamdi Vad, Sardar Ganj",22.5549941,72.9589146,ChIJQ4W42JxOXjkRA3sINMXhW_U,https://www.google.com/maps/place/?q=place_id:ChIJQ4W42JxOXjkRA3sINMXhW_U,part_108,2026-09-20 16:39:58,271
