business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
P R Maheshwari & Co LLP,Tax and GST Consultant,Chartered accountant,Chartered accountant,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 94997 91654,https://www.prmaheshwari.com/,5.0,,"Radhaswami Sahaj, 207, nr. Borsad Chokdi, Anand, Gujarat 388001","Borsad Chokdi, Jitodia",22.543065799999997,72.9546999,ChIJ8QUsdX1NXjkRO8sn7LSPseI,https://www.google.com/maps/place/?q=place_id:ChIJ8QUsdX1NXjkRO8sn7LSPseI,part_108,2026-09-20 16:40:43,4007
HITESH PARMAR ACCOUNTING WORK,Tax and GST Consultant,Accountant,"Accountant, Bookkeeping service",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 63533 36283,N/A,5.0,,"Petlad, Gujarat 387240",388450,22.5108577,72.7738036,ChIJq7IRPwBVXjkRa0hSO5lqpxg,https://www.google.com/maps/place/?q=place_id:ChIJq7IRPwBVXjkRa0hSO5lqpxg,part_108,2026-09-20 16:40:43,4008
Dhruvil Gandhi And Associates,Tax and GST Consultant,Chartered accountant,Chartered accountant,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 99255 59588,N/A,4.9,,"3rd Floor, R & A Chambers, near Laxmi Cinema, Crossing, Anand, Gujarat 388001",Crossing,22.5586865,72.96174189999999,ChIJC8qgj5tOXjkRdiT3GlMPsUY,https://www.google.com/maps/place/?q=place_id:ChIJC8qgj5tOXjkRdiT3GlMPsUY,part_108,2026-09-20 16:40:43,4009
Santram Accounting | Best Accounting Service Provider,Tax and GST Consultant,Accounting firm,Accounting firm,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 99099 12944,https://santramaccounting.com/,4.9,,"Raj Marg, 304, Krishna Aaron, B/h iris hospital, Sardar Patel, Road, opp. Sanket Sales, Anand, Gujarat 388120","Patel Chokdi, Vivekanand Wadi",22.564232,72.94474249999999,ChIJdwsMBXtPXjkREJhu4AA9I40,https://www.google.com/maps/place/?q=place_id:ChIJdwsMBXtPXjkREJhu4AA9I40,part_108,2026-09-20 16:40:43,4010
Akshar Accounting & Investment,Tax and GST Consultant,Accounting firm,"Accounting firm, Insurance agency, Investment service, Stock broker",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 98251 20994,http://www.aksharinvest.com/,5.0,,"Ramnath Mahadev, 15-16, above Ramnath, opp. Silver Point, Ambalal Park, Borsad, Gujarat 388540",Ambalal Park,22.4131052,72.8994292,ChIJ8esKtyWzXzkRXNrmhl6QTS0,https://www.google.com/maps/place/?q=place_id:ChIJ8esKtyWzXzkRXNrmhl6QTS0,part_108,2026-09-20 16:40:43,4011
Adv Kedar R Vyas,Tax and GST Consultant,Tax consultant,Tax consultant,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 90339 67055,N/A,,,"1st Floor, M D Shah Shopping Center, Office 8, Station Rd, opp. SBI, Sherpura, Nagarkuva, Petlad, Gujarat 388450","Sherpura, Nagarkuva",22.481028,72.8014543,ChIJ6aQ7AVVVXjkRT-GVzWVfioE,https://www.google.com/maps/place/?q=place_id:ChIJ6aQ7AVVVXjkRT-GVzWVfioE,part_108,2026-09-20 16:40:43,4012
Tax By KK - GST Expert,Tax and GST Consultant,Tax consultant,"Tax consultant, Coaching Center, Service establishment, Tax assessor, Tax attorney, Tax collector's office, Consultant, Tax preparation, Tax preparation service",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 99996 05867,https://www.taxbykk.com/,4.8,,"Tax By KK - GST Expert, 388450, India",388450,21.0680074,82.7525294,ChIJ9YCX5ACvJzoR2ey3dz-3J2Y,https://www.google.com/maps/place/?q=place_id:ChIJ9YCX5ACvJzoR2ey3dz-3J2Y,part_108,2026-09-20 16:40:43,4013
Income Tax and Gst Consultant,Tax and GST Consultant,Tax attorney,"Tax attorney, Service establishment",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 92520 65477,N/A,5.0,,"Income Tax and Gst Consultant, 388450, India",388450,21.0680074,82.7525294,ChIJ1w3AnPT1FjkRTC6JQGwkDsc,https://www.google.com/maps/place/?q=place_id:ChIJ1w3AnPT1FjkRTC6JQGwkDsc,part_108,2026-09-20 16:40:43,4014
Adhyashakti GST Suvidha kendra,Tax and GST Consultant,Tax collector's office,Tax collector's office,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",N/A,N/A,5.0,,"opp. alankar store, Chokshi Bazar, Kaziwada, Nagarkuva, Petlad, Gujarat 388450","Chokshi Bazar, Kaziwada, Nagarkuva",22.477317799999998,72.7983387,ChIJIw4LSJ5VXjkRHxSX_Pg7JnM,https://www.google.com/maps/place/?q=place_id:ChIJIw4LSJ5VXjkRHxSX_Pg7JnM,part_108,2026-09-20 16:40:43,4015
Anand K Panchal,Tax and GST Consultant,Tax consultant,Tax consultant,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 88666 14141,https://anandpanchal.com/,5.0,,"F-207-208, SUMEL BUSINESS PARK-6, Nr Hanumanpura BRTS Stop, Dudheshwar, Ahmedabad, Gujarat 380004",Dudheshwar,23.0464926,72.58425369999999,ChIJYTEhi0CFXjkRQt7ItFuNH8M,https://www.google.com/maps/place/?q=place_id:ChIJYTEhi0CFXjkRQt7ItFuNH8M,part_108,2026-09-20 16:40:43,4016
Amazon easy store And GST Suvidha centre,Tax and GST Consultant,Tax consultant,Tax consultant,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",N/A,N/A,5.0,,"1/139 Malav bhagol,Petlad, Petlad, Gujarat 388450","Kaziwada, Nagarkuva",22.474645799999998,72.7966644,ChIJVVV5WKlVXjkRSQuqPVPTo90,https://www.google.com/maps/place/?q=place_id:ChIJVVV5WKlVXjkRSQuqPVPTo90,part_108,2026-09-20 16:40:43,4017
Jaydeep B. Rao Computerized Accounting Services,Tax and GST Consultant,Accounting firm,Accounting firm,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",N/A,N/A,,,"125, Sachhidanand shopping center, sardar chowk, Sherpura, Nagarkuva, Petlad, Gujarat 388450","Sherpura, Nagarkuva",22.4806177,72.8012681,ChIJ9RzzBcNVXjkRDeCj5NU9fec,https://www.google.com/maps/place/?q=place_id:ChIJ9RzzBcNVXjkRDeCj5NU9fec,part_108,2026-09-20 16:40:43,4018
Darshan Tax Consultancy & Online Business,Tax and GST Consultant,Tax consultant,Tax consultant,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 88660 72853,N/A,4.9,10.0,"Darji Faliyu, Mathiya Chora, Anand, Gujarat 388001",Mathiya Chora,22.5520989,72.9557683,ChIJ29EJ9h1PXjkRLTWWO69B7qs,https://www.google.com/maps/place/?q=place_id:ChIJ29EJ9h1PXjkRLTWWO69B7qs,part_108,2026-09-20 16:40:45,4019
