business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Vi - Vodafone Idea mini Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 63570 36400,https://stores.myvi.in/vi-vodafone-idea-mini-store-nagneshwari-telecom-telecommunications-service-provider-petlad-anand-493825/Home?utm_source=locator&utm_medium=googleplaces,5.0,,"Shop No 110, SK Shopping Center, Town Hall Rd, Sherpura, Nagarkuva, Petlad, Gujarat 388450","Sherpura, Nagarkuva",22.478928999999997,72.803685,ChIJqcYd5P9VXjkRw1snAdwtlA4,https://www.google.com/maps/place/?q=place_id:ChIJqcYd5P9VXjkRw1snAdwtlA4,part_108,2026-09-20 16:40:43,3985
Ganesh Telicom,IT and Telecom Services,Cell phone accessory store,Cell phone accessory store,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 76001 15222,N/A,4.9,,"radhe 1 complex, Dharmaj bus stend college, 7, chokadi, Petlad, Gujarat 388450","Gautam nagar Society, chokadi",22.4766528,72.8093925,ChIJ84YIaGNTXjkR7ELZagoTfV0,https://www.google.com/maps/place/?q=place_id:ChIJ84YIaGNTXjkR7ELZagoTfV0,part_108,2026-09-20 16:40:43,3986
Gayatri silicate Bsnl frenchaisee,IT and Telecom Services,Telecommunications contractor,Telecommunications contractor,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",N/A,N/A,5.0,,"morarji bhavan shopping centre, college chowkdi, Sarvodaya Society, Nagarkuva, Petlad, Gujarat 388450","Sarvodaya Society, Nagarkuva",22.476780899999998,72.80881029999999,ChIJ8zZSVwBTXjkRPrc7zV2cZTo,https://www.google.com/maps/place/?q=place_id:ChIJ8zZSVwBTXjkRPrc7zV2cZTo,part_108,2026-09-20 16:40:43,3987
Pawan Telecom,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 98298 18130,N/A,5.0,,"Station Rd, Sherpura, Nagarkuva, Petlad, Gujarat 388450","Sherpura, Nagarkuva",22.4814835,72.80151819999999,ChIJcXGBdGxVXjkRVyhMKW5ww9E,https://www.google.com/maps/place/?q=place_id:ChIJcXGBdGxVXjkRVyhMKW5ww9E,part_108,2026-09-20 16:40:43,3988
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 94285 24363,https://bsnl.co.in/,,,"1057, kharikui, sunav, petlad, Sunav, Gujarat 388470","kharikui, sunav",22.5309095,72.7991139,ChIJdVDxwFtVXjkRZhA1ztwOfG0,https://www.google.com/maps/place/?q=place_id:ChIJdVDxwFtVXjkRZhA1ztwOfG0,part_108,2026-09-20 16:40:43,3989
Airtel Store,IT and Telecom Services,Telecommunications service provider,"Telecommunications service provider, Internet service provider, Mobile network operator",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 63537 50368,https://www.airtel.in/,5.0,,"Hastk Sharan Complex, Station Rd, Sherpura, Nagarkuva, Petlad, Gujarat 388450","Sherpura, Nagarkuva",22.485087999999998,72.801583,ChIJmQde5olVXjkR_r5Cszb-ywI,https://www.google.com/maps/place/?q=place_id:ChIJmQde5olVXjkR_r5Cszb-ywI,part_108,2026-09-20 16:40:43,3990
MATRIX,IT and Telecom Services,Telecommunications service provider,"Telecommunications service provider, Hair salon",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 98247 76625,https://www.matrix.in/,4.9,,"1st Floor, Karma Complex, Petlad - Sunav Rd, behind SS Hospital, Dharam Nagar Society, Rangaipura, Petlad, Gujarat 388450","Dharam Nagar Society, Rangaipura",22.4889732,72.801951,ChIJbRbw2X9UXjkRvQ4JRFEZ-2I,https://www.google.com/maps/place/?q=place_id:ChIJbRbw2X9UXjkRvQ4JRFEZ-2I,part_108,2026-09-20 16:40:43,3991
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 94847 31926,https://bsnl.co.in/,,,"opp. MILK DAIRY, Sherpura, Pathanwada, Vatav, Petlad, Gujarat 388450","Sherpura, Pathanwada",22.4826285,72.79840039999999,ChIJBxOO4opVXjkROSP8bpNfpGM,https://www.google.com/maps/place/?q=place_id:ChIJBxOO4opVXjkROSP8bpNfpGM,part_108,2026-09-20 16:40:43,3992
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 94847 31797,https://bsnl.co.in/,5.0,,"S/o Aiyubbhai Khatki,14 Nuri Society Hazrat Haji Ali Haidar Shah Warsi Dargha,Shekhadi Road Petlad,Petlad ,Anand,388450,DOB:, 29/Aug/99, @petlad,,,NADIAD, Petlad, Gujarat 388450",Shekhadi,22.473979399999997,72.7925103,ChIJLXoC27RVXjkR1UUu4eUw50k,https://www.google.com/maps/place/?q=place_id:ChIJLXoC27RVXjkR1UUu4eUw50k,part_108,2026-09-20 16:40:43,3993
Unique Online Store,IT and Telecom Services,Telecommunications service provider,"Telecommunications service provider, Mobile money agent, Mobile phone repair shop, Cell phone accessory store",388450,Gujarat Circle,Vadodara Region,Kheda Division,"Petlad RS SO, Petlad SO, Ardi BO",+91 81288 91707,N/A,5.0,,"Unique Online Store, near Ramdev Pir Tample, Fangani, Petlad, Gujarat 388450",388450,22.4846142,72.8358047,ChIJUc_DRk9VXjkRPBSPJ3xX5j4,https://www.google.com/maps/place/?q=place_id:ChIJUc_DRk9VXjkRPBSPJ3xX5j4,part_108,2026-09-20 16:40:43,3994
