business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Photography with Parth,Photographers,Photography studio,Photography studio,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 99791 29063,N/A,5.0,,"6Q8Q+X65, Khakhariya, Ladpur, Gujarat 389265",389265,23.218199499999997,73.7888462,ChIJOSeG-J-1YDkRDrkQUnPmFBI,https://www.google.com/maps/place/?q=place_id:ChIJOSeG-J-1YDkRDrkQUnPmFBI,part_109,2026-09-20 16:40:17,4381
Dev Darshan Digital Studio,Photographers,Photography studio,Photography studio,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,5.0,,"Ladpur, Gujarat 389265",389265,23.217197,73.7901553,ChIJLR_js3y1YDkRsBUea_IWebk,https://www.google.com/maps/place/?q=place_id:ChIJLR_js3y1YDkRsBUea_IWebk,part_109,2026-09-20 16:40:17,4382
The photo bug,Photographers,Photography studio,Photography studio,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 97237 87770,N/A,4.9,,"Bypass road, Santrampur, Gujarat 389260",389265,23.1910538,73.8925065,ChIJl-Uahf7JYDkRacuNmKhrwgY,https://www.google.com/maps/place/?q=place_id:ChIJl-Uahf7JYDkRacuNmKhrwgY,part_109,2026-09-20 16:40:17,4383
Gaytri studio and photography,Photographers,Photography studio,Photography studio,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,5.0,,"5W85+QGF, Benada, Gujarat 389260",389265,23.168125,73.908113,ChIJB-cBGQDJYDkRA0-oYLT4luI,https://www.google.com/maps/place/?q=place_id:ChIJB-cBGQDJYDkRA0-oYLT4luI,part_109,2026-09-20 16:40:17,4384
Ms Photography,Photographers,Wedding photographer,Wedding photographer,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 95863 89606,https://instagram.com/ms_photo_ghraphy?igshid=ZDdkNTZiNTM=,5.0,,"Munpur, Gujarat 389250",389265,23.285629099999998,73.79191,ChIJUzquxhtLZzkRpEBVKWjOYxw,https://www.google.com/maps/place/?q=place_id:ChIJUzquxhtLZzkRpEBVKWjOYxw,part_109,2026-09-20 16:40:17,4385
માં ડિજીટલ સ્ટુડિયો માલવણ,Photographers,Photography studio,Photography studio,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,4.6,,"6RFM+CJR, Malvan, Gujarat 389265",389265,23.223615,73.8340249,ChIJn9JhX4q1YDkRHUofVORMWp4,https://www.google.com/maps/place/?q=place_id:ChIJn9JhX4q1YDkRHUofVORMWp4,part_109,2026-09-20 16:40:17,4386
સંત કબીર સાઉન્ડ મોવાસા,Photographers,Photography studio,Photography studio,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,,,"5PVQ+GVV, Movasa, Gujarat 389235",389265,23.193869499999998,73.73965799999999,ChIJBYi5fQCzYDkRBfWvy4HXy0g,https://www.google.com/maps/place/?q=place_id:ChIJBYi5fQCzYDkRBfWvy4HXy0g,part_109,2026-09-20 16:40:17,4387
Stories by top,Photographers,Photography studio,Photography studio,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 95107 14432,N/A,,,"colony, Kadana, Diwada, Gujarat 389250",colony,23.275952999999998,73.837407,ChIJHzltQwC1YDkRzFc7Y37N08M,https://www.google.com/maps/place/?q=place_id:ChIJHzltQwC1YDkRzFc7Y37N08M,part_109,2026-09-20 16:40:17,4388
Gaytri studio,Photographers,Photography studio,Photography studio,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,5.0,,"5WJF+XM, Vanjiya Khunt, Gujarat 389260",389265,23.1824828,73.92413839999999,ChIJoaSweQDJYDkRuakhvC4ndo8,https://www.google.com/maps/place/?q=place_id:ChIJoaSweQDJYDkRuakhvC4ndo8,part_109,2026-09-20 16:40:17,4389
Raj Digital Studio,Photographers,Photography studio,Photography studio,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 90810 01660,N/A,,,"opp. lawyer quarter, colony, Diwada, Gujarat 389250",colony,23.278109999999998,73.8404882,ChIJ6Tl34iq1YDkRML5Mg-QLRGY,https://www.google.com/maps/place/?q=place_id:ChIJ6Tl34iq1YDkRML5Mg-QLRGY,part_109,2026-09-20 16:40:17,4390
Dev Photography,Photographers,Wedding photographer,Wedding photographer,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 99789 32416,N/A,5.0,,"4WRH+3V3, Kherva, Parthampur, Gujarat 389260",389265,23.1401337,73.929662,ChIJm5qtBQDJYDkRRYsqufi2U3o,https://www.google.com/maps/place/?q=place_id:ChIJm5qtBQDJYDkRRYsqufi2U3o,part_109,2026-09-20 16:40:17,4391
CHHAYA STUDIO,Photographers,Photography studio,Photography studio,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 81405 55100,N/A,4.5,,"01, main bajar, Santrampur, Gujarat 389260",389265,23.190059899999998,73.8966956,ChIJl2updg3JYDkRcyHqYHZD7hQ,https://www.google.com/maps/place/?q=place_id:ChIJl2updg3JYDkRcyHqYHZD7hQ,part_109,2026-09-20 16:40:17,4392
K STUDIO,Photographers,Photography studio,Photography studio,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 95376 06945,N/A,2.0,,"01, Chokdi, Kalibel, Gujarat 389230",Chokdi,23.1648042,73.7378542,ChIJh_6X2Z-xYDkRxFYpwy_1pEo,https://www.google.com/maps/place/?q=place_id:ChIJh_6X2Z-xYDkRxFYpwy_1pEo,part_109,2026-09-20 16:40:17,4393
MIT'S PHOTOGRAPHY,Photographers,Photography studio,Photography studio,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 84888 82684,https://www.instagram.com/mit_s_photography/?hl=en,4.8,,"04, mahavir complex, Sapa Rd, Govardhan Nagar B, Godhra, Gujarat 389002, Godhra, Gujarat 389001",Govardhan Nagar B,22.789707399999998,73.6196556,ChIJw2He3RKbYDkRMD1Ta_zIYaQ,https://www.google.com/maps/place/?q=place_id:ChIJw2He3RKbYDkRMD1Ta_zIYaQ,part_109,2026-09-20 16:40:17,4394
Shivam Photo Studio,Photographers,Photography studio,Photography studio,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 96242 48425,N/A,5.0,,"Godhara Rd, Rajanagar Socitey, Santrampur, Narsingpur, Gujarat 389260",Rajanagar Socitey,23.185048899999998,73.89551089999999,ChIJIVhAswzJYDkRQ9Z6dBgSZHA,https://www.google.com/maps/place/?q=place_id:ChIJIVhAswzJYDkRQ9Z6dBgSZHA,part_109,2026-09-20 16:40:17,4395
